Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Germany,Healthcare expenditure,Share of GDP,Total,12.4,percent of GDP,2024,Destatis – Gesundheitsausgaben im Jahr 2024 auf 538 Milliarden Euro,https://www.destatis.de/DE/Presse/Pressemitteilungen/2026/04/PD26_115_23611.html,Latest official total health expenditure share of GDP.
Germany,Healthcare expenditure,Per capita,Total,6444,EUR per person,2024,Destatis – Gesundheitsausgaben im Jahr 2024 auf 538 Milliarden Euro,https://www.destatis.de/DE/Presse/Pressemitteilungen/2026/04/PD26_115_23611.html,Latest official per-capita health expenditure.
Germany,Healthcare expenditure,Public/private split,Public financing share,87,percent of current health expenditure,2022,WHO/European Observatory – Germany Health System Summary 2024,https://iris.who.int/server/api/core/bitstreams/5204d87b-8e2e-4b9a-9da7-832c40e97ce1/content,Latest surfaced public-share figure in official WHO/Observatory summary.
Germany,Healthcare expenditure,Public/private split,Private financing share,13,percent of current health expenditure,2022,WHO/European Observatory – Germany Health System Summary 2024,https://iris.who.int/server/api/core/bitstreams/5204d87b-8e2e-4b9a-9da7-832c40e97ce1/content,Computed complement to 87% public share.
Germany,Obesity rate,Adult,Self-reported obesity prevalence,17,percent,2025,OECD – Health at a Glance 2025: Germany,https://www.oecd.org/en/publications/health-at-a-glance-2025_15a55280-en/germany_99d672fb-en.html,Latest OECD country-note figure.
Germany,Smoking prevalence,Adult,Daily smoking prevalence,14.6,percent,2025,OECD – Health at a Glance 2025: Germany,https://www.oecd.org/en/publications/health-at-a-glance-2025_15a55280-en/germany_99d672fb-en.html,Latest OECD country-note figure.
Germany,Suicide Rate,,Population,10,"deaths per 100,000 population",2025,OECD – Health at a Glance 2025: Germany,https://www.oecd.org/en/publications/health-at-a-glance-2025_15a55280-en/germany_99d672fb-en.html,OECD country-note suicide mortality rate (deaths per 100 000 population).
Germany,"Physicians per 1,000 people",,Practising doctors,4.7,"per 1,000 population",2025,OECD – Health at a Glance 2025: Germany,https://www.oecd.org/en/publications/health-at-a-glance-2025_15a55280-en/germany_99d672fb-en.html,Latest OECD country-note figure.
Germany,Total number of doctors,,Practising physicians,388343,doctors,2023,Eurostat – Healthcare personnel statistics: physicians,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Healthcare_personnel_statistics_-_physicians,Official Eurostat count of practising physicians.
Germany,Healthy life expectancy,At birth,Healthy life expectancy (HALE),61.9,years,2021,WHO Data – Healthy life expectancy at birth (years),https://data.who.int/indicators/i/48D9B0C/C64284D,WHO indicator value for Germany; years lived in full health.
Germany,Preventable mortality rate,,Population,129,"deaths per 100,000 population",2025,OECD – Health at a Glance 2025: Germany,https://www.oecd.org/en/publications/health-at-a-glance-2025_15a55280-en/germany_99d672fb-en.html,Latest OECD country-note figure.
Germany,Alcohol consumption,,Per capita alcohol consumption,10.6,litres per capita,2025,OECD – Health at a Glance 2025: Germany,https://www.oecd.org/en/publications/health-at-a-glance-2025_15a55280-en/germany_99d672fb-en.html,Latest OECD country-note figure.
