Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Anthony Albanese,name,2025,https://www.abs.gov.au/ / government statistics,false,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Labor,party,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Overview,head of government political ideology,,,centre-left,ideology,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Overview,governing coalition,,,Labor majority government,coalition,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Overview,number of coalition parties,,,1,parties,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Parliament,total seats,,,150,seats,2025,https://www.abs.gov.au/ / government statistics,false,Lower/main chamber.
Government,Parliament,seats by party,,Labor,94,seats,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Parliament,seats by party,,Liberal,28,seats,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Parliament,seats by party,,Liberal National (LNP),16,seats,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Parliament,seats by party,,Nationals,9,seats,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Parliament,seats by party,,Greens,1,seats,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Parliament,seats by party,,Independents,13,seats,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Parliament,majority threshold,,,76,seats,2025,https://www.abs.gov.au/ / government statistics,false,
Government,Parliament,coalition seat total,,,81,seats,2025,Modeled estimate — coalition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,69,seats,2025,Modeled estimate — opposition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,https://www.abs.gov.au/ / government statistics,false,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,52,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,50,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,38,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,66,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,76,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,59,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,25,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (75).
Government,Policies,immigration law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
