country,year,age_group,male_population,female_population,total_population
Australia,2025,0-4,769800,728446,1498246
Australia,2025,5-9,820234,780354,1600588
Australia,2025,10-14,758976,720227,1479203
Australia,2025,15-19,739620,701861,1441481
Australia,2025,20-24,766409,729154,1495563
Australia,2025,25-29,881467,774981,1656448
Australia,2025,30-34,906480,836043,1742523
Australia,2025,35-39,973672,905832,1879504
Australia,2025,40-44,872234,871541,1743775
Australia,2025,45-49,796336,795664,1592000
Australia,2025,50-54,796806,796156,1592962
Australia,2025,55-59,976696,976066,1952762
Australia,2025,60-64,938406,966224,1904630
Australia,2025,65-69,735569,789447,1525016
Australia,2025,70-74,554976,660065,1215041
Australia,2025,75-79,404158,479341,883499
Australia,2025,80-84,320818,418927,739745
Australia,2025,85-89,207548,328790,536338
Australia,2025,90-94,58537,118151,176688
Australia,2025,95-99,10550,29439,39989
Australia,2025,100+,851,3147,3998
