Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Christian Stocker,name,2025,Statistik Austria / government statistics,https://www.statistik.at/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,ÖVP,party,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Overview,governing coalition,,,ÖVP–SPÖ–NEOS coalition,coalition,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Overview,number of coalition parties,,,3,parties,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Parliament,total seats,,,183,seats,2025,Statistik Austria / government statistics,https://www.statistik.at/,Lower/main chamber.
Government,Parliament,seats by party,,FPÖ,57,seats,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Parliament,seats by party,,ÖVP,51,seats,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Parliament,seats by party,,SPÖ,41,seats,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Parliament,seats by party,,NEOS,18,seats,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Parliament,seats by party,,Grüne,16,seats,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Parliament,majority threshold,,,92,seats,2025,Statistik Austria / government statistics,https://www.statistik.at/,
Government,Parliament,coalition seat total,,,99,seats,2025,Modeled estimate — coalition seats,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,84,seats,2025,Modeled estimate — opposition seats,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,5,parties,2025,Statistik Austria / government statistics,https://www.statistik.at/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.3,effective number of parties,2025,Modeled estimate — fragmentation,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,47,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,45,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,33,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,61,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,71,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,54,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,33,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (67).
Government,Policies,immigration law changes,,,6,major changes since 2015,2025,Modeled estimate — policy count,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
