Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Austria,Youth unemployment rate,,Ages 15–24,11.3,percent,2024,Statistik Austria / labour statistics,https://www.statistik.at/,Latest published youth unemployment rate.
Austria,Long-term unemployment rate,,,1.6,percent of labour force,2024,Statistik Austria / labour statistics,https://www.statistik.at/,Long-term (12m+) unemployment.
Austria,Labour force participation rate,,Total (15–64),62.5,percent,2024,Statistik Austria / labour statistics,https://www.statistik.at/,Latest published participation rate.
Austria,Labour force participation rate,By migrant/native status,Native-born — total,64,percent,2024,Modeled estimate — labour,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Austria,Labour force participation rate,By migrant/native status,Foreign-born — total,56.5,percent,2024,Modeled estimate — labour,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Austria,Labour force participation rate,By migrant/native status,Native-born — men,67.5,percent,2024,Modeled estimate — labour,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Austria,Labour force participation rate,By migrant/native status,Foreign-born — men,61.5,percent,2024,Modeled estimate — labour,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Austria,Labour force participation rate,By migrant/native status,Native-born — women,60.5,percent,2024,Modeled estimate — labour,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Austria,Labour force participation rate,By migrant/native status,Foreign-born — women,50.5,percent,2024,Modeled estimate — labour,https://www.statistik.at/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Austria,Minimum wage,,,none (collective agreements),statutory minimum,2024,Statistik Austria / labour statistics,https://www.statistik.at/,Statutory minimum wage (or none where wages are set by collective agreements).
Austria,Average annual working hours per worker,,,1443,hours per year,2024,Statistik Austria / labour statistics,https://www.statistik.at/,OECD-style average annual hours actually worked.
