country,year,age_group,male_population,female_population,total_population
Austria,2025,0-4,214201,202693,416894
Austria,2025,5-9,233245,221904,455149
Austria,2025,10-14,220700,209433,430133
Austria,2025,15-19,220074,208838,428912
Austria,2025,20-24,233509,222158,455667
Austria,2025,25-29,275199,241954,517153
Austria,2025,30-34,290223,267672,557895
Austria,2025,35-39,319943,297651,617594
Austria,2025,40-44,294410,294177,588587
Austria,2025,45-49,276360,276127,552487
Austria,2025,50-54,284586,284354,568940
Austria,2025,55-59,359380,359149,718529
Austria,2025,60-64,356125,366682,722807
Austria,2025,65-69,288250,309363,597613
Austria,2025,70-74,224859,267437,492296
Austria,2025,75-79,169541,201079,370620
Austria,2025,80-84,139545,182219,321764
Austria,2025,85-89,93757,148527,242284
Austria,2025,90-94,27511,55528,83039
Austria,2025,95-99,5168,14422,19590
Austria,2025,100+,436,1610,2046
