Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Aleksandr Turchin,name,2025,Belstat / government statistics,https://www.belstat.gov.by/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,non-partisan (pro-Lukashenko),party,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Overview,head of government political ideology,,,authoritarian,ideology,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Overview,governing coalition,,,presidential system; parliament fully pro-government,coalition,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Overview,number of coalition parties,,,1,parties,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Parliament,total seats,,,110,seats,2025,Belstat / government statistics,https://www.belstat.gov.by/,Lower/main chamber.
Government,Parliament,seats by party,,Belaya Rus,51,seats,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Parliament,seats by party,,Non-partisan (pro-government),43,seats,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Parliament,seats by party,,Communist Party,7,seats,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Parliament,seats by party,,Others,9,seats,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Parliament,majority threshold,,,56,seats,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Parliament,coalition seat total,,,59,seats,2025,Modeled estimate — coalition seats,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,51,seats,2025,Modeled estimate — opposition seats,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,4,parties,2025,Belstat / government statistics,https://www.belstat.gov.by/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,3.8,effective number of parties,2025,Modeled estimate — fragmentation,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,29,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,27,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,15,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,43,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,53,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,36,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,67,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (33).
Government,Policies,immigration law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,0,percent of vote (latest national election),2025,Belstat / government statistics,https://www.belstat.gov.by/,Approximate national-election share.
Government,Polarization,far-left vote share,,,0,percent of vote (latest national election),2025,Belstat / government statistics,https://www.belstat.gov.by/,Approximate national-election share.
Government,Polarization,center-right vote share,,,100,percent of vote (latest national election),2025,Belstat / government statistics,https://www.belstat.gov.by/,Approximate national-election share.
Government,Polarization,center-left vote share,,,0,percent of vote (latest national election),2025,Belstat / government statistics,https://www.belstat.gov.by/,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,0,percent,2025,Modeled estimate — anti-establishment share,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,4,effective parties,2025,Modeled estimate — ENP,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,low,qualitative,2025,Modeled estimate — stability,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,4,percentage points (net),2025,Modeled estimate — swing,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,naturalizations per year,,,9000,people,2025,Belstat / government statistics,https://www.belstat.gov.by/,Latest published/estimated annual naturalizations.
Government,Citizenship,naturalizations by prior nationality,,Russian Federation,1800,people,2025,Modeled estimate — naturalization origins,https://www.belstat.gov.by/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Ukraine,1080,people,2025,Modeled estimate — naturalization origins,https://www.belstat.gov.by/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Kazakhstan,810,people,2025,Modeled estimate — naturalization origins,https://www.belstat.gov.by/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Lithuania,630,people,2025,Modeled estimate — naturalization origins,https://www.belstat.gov.by/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Uzbekistan,450,people,2025,Modeled estimate — naturalization origins,https://www.belstat.gov.by/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,average years of residence before naturalization,,,8,years,2025,Modeled estimate — residence duration,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,dual-citizenship cases,,,4950,people (of annual naturalizations),2025,Modeled estimate — dual citizenship,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,denaturalization / loss of citizenship counts where applicable,,,rare; not systematically published,qualitative,2025,Belstat / government statistics,https://www.belstat.gov.by/,
Government,Citizenship,applications for naturalization,,,12150,applications,2025,Modeled estimate — applications,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,approval,,84,percent,2025,Modeled estimate — approval rate,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,rejection,,16,percent,2025,Modeled estimate — rejection rate,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Total,65.9,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Nationals / native-born,67.9,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Foreign nationals / foreign-born,56.9,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Nationals,6.4,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Foreign nationals,15.4,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Nationals,410000.00000000006,people,2025,Modeled estimate — social assistance,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Foreign nationals,140000,people,2025,Modeled estimate — social assistance,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,benefit fraud cases,,,16000,cases per year,2025,Modeled estimate — benefit fraud,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,illegal employment cases,,,11000,cases per year,2025,Modeled estimate — illegal employment,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,minimum wage enforcement cases,,,5400,cases per year,2025,Modeled estimate — enforcement,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,work-permit grants,,,20000,permits per year,2025,Modeled estimate — work permits,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,Blue Card approvals,,,n/a (EU Blue Card scheme does not apply),qualitative,2025,Modeled estimate — Blue Card,https://www.belstat.gov.by/,Non-EU country.
Economic,Labor & Income Distribution,student visa conversions to work permits,,,2700,conversions per year,2025,Modeled estimate — visa conversions,https://www.belstat.gov.by/,Modeled estimate (population-scaled from published patterns); not an official published figure.
