country,year,age_group,male_population,female_population,total_population
Belarus,2025,0-4,239983,227091,467074
Belarus,2025,5-9,257954,245412,503366
Belarus,2025,10-14,240876,228578,469454
Belarus,2025,15-19,236977,224878,461855
Belarus,2025,20-24,248011,235955,483966
Belarus,2025,25-29,288220,253402,541622
Belarus,2025,30-34,299635,276353,575988
Belarus,2025,35-39,325527,302847,628374
Belarus,2025,40-44,295113,294878,589991
Belarus,2025,45-49,272828,272598,545426
Belarus,2025,50-54,276606,276381,552987
Belarus,2025,55-59,343784,343563,687347
Belarus,2025,60-64,335167,345102,680269
Belarus,2025,65-69,266803,286345,553148
Belarus,2025,70-74,204609,243353,447962
Belarus,2025,75-79,151602,179803,331405
Belarus,2025,80-84,122568,160050,282618
Belarus,2025,85-89,80855,128087,208942
Belarus,2025,90-94,23283,46995,70278
Belarus,2025,95-99,4291,11972,16263
Belarus,2025,100+,355,1310,1665
