Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Bart De Wever,name,2025,https://statbel.fgov.be/ / government statistics,true,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,N-VA,party,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Overview,head of government political ideology,,,right / Flemish-nationalist,ideology,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Overview,governing coalition,,,"Arizona coalition (N-VA, MR, Les Engagés, Vooruit, CD&V)",coalition,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Overview,number of coalition parties,,,5,parties,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Parliament,total seats,,,150,seats,2025,https://statbel.fgov.be/ / government statistics,true,Lower/main chamber.
Government,Parliament,seats by party,,N-VA,24,seats,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Parliament,seats by party,,Vlaams Belang,20,seats,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Parliament,seats by party,,MR,20,seats,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Parliament,seats by party,,PS,16,seats,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Parliament,seats by party,,PTB-PVDA,15,seats,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Parliament,seats by party,,Vooruit,13,seats,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Parliament,seats by party,,Les Engagés,14,seats,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Parliament,majority threshold,,,76,seats,2025,https://statbel.fgov.be/ / government statistics,true,
Government,Parliament,coalition seat total,,,81,seats,2025,Modeled estimate — coalition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,69,seats,2025,Modeled estimate — opposition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,https://statbel.fgov.be/ / government statistics,true,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,48,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,46,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,34,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,62,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,72,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,55,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,31,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (69).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
