Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Belgium,Healthcare expenditure,Share of GDP,Total,10.9,percent of GDP,2024,https://statbel.fgov.be/ / health statistics,true,Latest published health expenditure share of GDP.
Belgium,Healthcare expenditure,Per capita,Total,5100,EUR per person,2024,https://statbel.fgov.be/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
Belgium,Healthcare expenditure,Public/private split,Public financing share,77,percent of current health expenditure,2024,https://statbel.fgov.be/ / health statistics,true,Public share of current health expenditure.
Belgium,Healthcare expenditure,Public/private split,Private financing share,23,percent of current health expenditure,2024,https://statbel.fgov.be/ / health statistics,true,Residual private share.
Belgium,Obesity rate,Adult,Total,16,percent of adults,2024,WHO / https://statbel.fgov.be/ / health statistics,true,Adult obesity prevalence (BMI 30+).
Belgium,Smoking prevalence,Adult,Total,15.4,percent of adults,2024,WHO / https://statbel.fgov.be/ / health statistics,true,Adult smoking prevalence.
Belgium,Suicide Rate,,Total,13.9,"per 100,000 population",2024,WHO / https://statbel.fgov.be/ / health statistics,true,Age-standardised suicide rate.
Belgium,"Physicians per 1,000 people",,,3.3,"physicians per 1,000",2024,OECD/WHO / https://statbel.fgov.be/ / health statistics,true,Practising physicians density.
Belgium,Total number of doctors,,,38940,physicians,2024,OECD/WHO / https://statbel.fgov.be/ / health statistics,true,Derived: physician density × population. Modeled derivation.
Belgium,Healthy life expectancy,At birth,Total,70.6,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Belgium,Preventable mortality rate,,,170,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Belgium,Alcohol consumption,,Total,9.2,litres pure alcohol per capita 15+,2024,WHO / https://statbel.fgov.be/ / health statistics,true,Annual per-capita alcohol consumption.
