country,year,age_group,male_population,female_population,total_population
Belgium,2025,0-4,301272,285087,586359
Belgium,2025,5-9,324920,309123,634043
Belgium,2025,10-14,304458,288915,593373
Belgium,2025,15-19,300598,285251,585849
Belgium,2025,20-24,315750,300401,616151
Belgium,2025,25-29,368330,323833,692163
Belgium,2025,30-34,384412,354542,738954
Belgium,2025,35-39,419311,390097,809408
Belgium,2025,40-44,381714,381411,763125
Belgium,2025,45-49,354405,354106,708511
Belgium,2025,50-54,360907,360612,721519
Belgium,2025,55-59,450616,450325,900941
Belgium,2025,60-64,441405,454490,895895
Belgium,2025,65-69,353098,378961,732059
Belgium,2025,70-74,272165,323702,595867
Belgium,2025,75-79,202721,240431,443152
Belgium,2025,80-84,164793,215187,379980
Belgium,2025,85-89,109327,173191,282518
Belgium,2025,90-94,31668,63918,95586
Belgium,2025,95-99,5871,16384,22255
Belgium,2025,100+,488,1805,2293
