Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Borjana Krišto,name,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,HDZ BiH,party,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Overview,governing coalition,,,"state-level coalition (SNSD, HDZ BiH, Troika)",coalition,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Overview,number of coalition parties,,,4,parties,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Parliament,total seats,,,42,seats,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,Lower/main chamber.
Government,Parliament,seats by party,,SDA,9,seats,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Parliament,seats by party,,SNSD,6,seats,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Parliament,seats by party,,HDZ BiH,5,seats,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Parliament,seats by party,,SDP,5,seats,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Parliament,seats by party,,Others,17,seats,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Parliament,majority threshold,,,22,seats,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,
Government,Parliament,coalition seat total,,,23,seats,2025,Modeled estimate — coalition seats,https://bhas.gov.ba/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,19,seats,2025,Modeled estimate — opposition seats,https://bhas.gov.ba/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,5,parties,2025,Agencija za statistiku BiH / government statistics,https://bhas.gov.ba/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.3,effective number of parties,2025,Modeled estimate — fragmentation,https://bhas.gov.ba/,Modeled estimate (population-scaled from published patterns); not an official published figure.
