Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Bosnia and Herzegovina,Youth unemployment rate,,Ages 15–24,30,percent,2024,Agencija za statistiku BiH / labour statistics,https://bhas.gov.ba/,Latest published youth unemployment rate.
Bosnia and Herzegovina,Long-term unemployment rate,,,8,percent of labour force,2024,Agencija za statistiku BiH / labour statistics,https://bhas.gov.ba/,Long-term (12m+) unemployment.
Bosnia and Herzegovina,Labour force participation rate,,Total (15–64),47,percent,2024,Agencija za statistiku BiH / labour statistics,https://bhas.gov.ba/,Latest published participation rate.
Bosnia and Herzegovina,Labour force participation rate,By migrant/native status,Native-born — total,48.5,percent,2024,Modeled estimate — labour,https://bhas.gov.ba/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Bosnia and Herzegovina,Labour force participation rate,By migrant/native status,Foreign-born — total,41,percent,2024,Modeled estimate — labour,https://bhas.gov.ba/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Bosnia and Herzegovina,Labour force participation rate,By migrant/native status,Native-born — men,52,percent,2024,Modeled estimate — labour,https://bhas.gov.ba/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Bosnia and Herzegovina,Labour force participation rate,By migrant/native status,Foreign-born — men,46,percent,2024,Modeled estimate — labour,https://bhas.gov.ba/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Bosnia and Herzegovina,Labour force participation rate,By migrant/native status,Native-born — women,45,percent,2024,Modeled estimate — labour,https://bhas.gov.ba/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Bosnia and Herzegovina,Labour force participation rate,By migrant/native status,Foreign-born — women,35,percent,2024,Modeled estimate — labour,https://bhas.gov.ba/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Bosnia and Herzegovina,Minimum wage,,,"BAM 1,000/month",statutory minimum,2024,Agencija za statistiku BiH / labour statistics,https://bhas.gov.ba/,Statutory minimum wage (or none where wages are set by collective agreements).
Bosnia and Herzegovina,Average annual working hours per worker,,,1800,hours per year,2024,Agencija za statistiku BiH / labour statistics,https://bhas.gov.ba/,OECD-style average annual hours actually worked.
