country,year,age_group,male_population,female_population,total_population
Bosnia and Herzegovina,2025,0-4,76221,72127,148348
Bosnia and Herzegovina,2025,5-9,82826,78799,161625
Bosnia and Herzegovina,2025,10-14,78207,74215,152422
Bosnia and Herzegovina,2025,15-19,77820,73848,151668
Bosnia and Herzegovina,2025,20-24,82396,78390,160786
Bosnia and Herzegovina,2025,25-29,96898,85193,182091
Bosnia and Herzegovina,2025,30-34,101967,94044,196011
Bosnia and Herzegovina,2025,35-39,112163,104349,216512
Bosnia and Herzegovina,2025,40-44,102985,102904,205889
Bosnia and Herzegovina,2025,45-49,96457,96375,192832
Bosnia and Herzegovina,2025,50-54,99106,99025,198131
Bosnia and Herzegovina,2025,55-59,124870,124789,249659
Bosnia and Herzegovina,2025,60-64,123457,127117,250574
Bosnia and Herzegovina,2025,65-69,99698,107000,206698
Bosnia and Herzegovina,2025,70-74,77592,92285,169877
Bosnia and Herzegovina,2025,75-79,58367,69224,127591
Bosnia and Herzegovina,2025,80-84,47927,62584,110511
Bosnia and Herzegovina,2025,85-89,32125,50890,83015
Bosnia and Herzegovina,2025,90-94,9404,18980,28384
Bosnia and Herzegovina,2025,95-99,1762,4918,6680
Bosnia and Herzegovina,2025,100+,148,548,696
