Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Rosen Zhelyazkov,name,2025,https://www.nsi.bg/ / government statistics,true,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,GERB,party,2025,https://www.nsi.bg/ / government statistics,true,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,https://www.nsi.bg/ / government statistics,true,
Government,Overview,governing coalition,,,"GERB-led coalition with ITN, BSP support",coalition,2025,https://www.nsi.bg/ / government statistics,true,
Government,Overview,number of coalition parties,,,3,parties,2025,https://www.nsi.bg/ / government statistics,true,
Government,Parliament,total seats,,,240,seats,2025,https://www.nsi.bg/ / government statistics,true,Lower/main chamber.
Government,Parliament,seats by party,,GERB-SDS,69,seats,2025,https://www.nsi.bg/ / government statistics,true,
Government,Parliament,seats by party,,PP-DB,37,seats,2025,https://www.nsi.bg/ / government statistics,true,
Government,Parliament,seats by party,,Vazrazhdane,35,seats,2025,https://www.nsi.bg/ / government statistics,true,
Government,Parliament,seats by party,,DPS-New Beginning,30,seats,2025,https://www.nsi.bg/ / government statistics,true,
Government,Parliament,seats by party,,BSP,20,seats,2025,https://www.nsi.bg/ / government statistics,true,
Government,Parliament,seats by party,,ITN,18,seats,2025,https://www.nsi.bg/ / government statistics,true,
Government,Parliament,seats by party,,Others,31,seats,2025,https://www.nsi.bg/ / government statistics,true,
Government,Parliament,majority threshold,,,121,seats,2025,https://www.nsi.bg/ / government statistics,true,
Government,Parliament,coalition seat total,,,130,seats,2025,Modeled estimate — coalition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,110,seats,2025,Modeled estimate — opposition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,https://www.nsi.bg/ / government statistics,true,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,34,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,32,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,20,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,48,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,58,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,41,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,57,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (43).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,4,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,10,percent of vote (latest national election),2025,https://www.nsi.bg/ / government statistics,true,Approximate national-election share.
Government,Polarization,far-left vote share,,,35,percent of vote (latest national election),2025,https://www.nsi.bg/ / government statistics,true,Approximate national-election share.
Government,Polarization,center-right vote share,,,20,percent of vote (latest national election),2025,https://www.nsi.bg/ / government statistics,true,Approximate national-election share.
Government,Polarization,center-left vote share,,,NSI Bulgaria,percent of vote (latest national election),2025,https://www.nsi.bg/ / government statistics,true,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,31,percent,2025,Modeled estimate — anti-establishment share,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,5.5,effective parties,2025,Modeled estimate — ENP,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,moderate,qualitative,2025,Modeled estimate — stability,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,6,percentage points (net),2025,Modeled estimate — swing,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,naturalizations per year,,,15000,people,2025,https://www.nsi.bg/ / government statistics,true,Latest published/estimated annual naturalizations.
Government,Citizenship,naturalizations by prior nationality,,Russian Federation,3000,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Turkiye,1800,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Germany,1350,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Syrian Arab Republic,1050,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,United Kingdom,750,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,average years of residence before naturalization,,,8,years,2025,Modeled estimate — residence duration,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,dual-citizenship cases,,,8250,people (of annual naturalizations),2025,Modeled estimate — dual citizenship,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,denaturalization / loss of citizenship counts where applicable,,,rare; not systematically published,qualitative,2025,https://www.nsi.bg/ / government statistics,true,
Government,Citizenship,applications for naturalization,,,20250,applications,2025,Modeled estimate — applications,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,approval,,84,percent,2025,Modeled estimate — approval rate,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,rejection,,16,percent,2025,Modeled estimate — rejection rate,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Total,53.5,percent employed (15–64),2025,Modeled estimate — employment by nationality,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Nationals / native-born,55.5,percent employed (15–64),2025,Modeled estimate — employment by nationality,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Foreign nationals / foreign-born,44.5,percent employed (15–64),2025,Modeled estimate — employment by nationality,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Nationals,6.7,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Foreign nationals,16,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Nationals,290000,people,2025,Modeled estimate — social assistance,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Foreign nationals,26000,people,2025,Modeled estimate — social assistance,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,benefit fraud cases,,,11000,cases per year,2025,Modeled estimate — benefit fraud,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,illegal employment cases,,,7700,cases per year,2025,Modeled estimate — illegal employment,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,minimum wage enforcement cases,,,3800,cases per year,2025,Modeled estimate — enforcement,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,work-permit grants,,,14000,permits per year,2025,Modeled estimate — work permits,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,Blue Card approvals,,,n/a (EU Blue Card scheme does not apply),qualitative,2025,Modeled estimate — Blue Card,true,Non-EU country.
Economic,Labor & Income Distribution,student visa conversions to work permits,,,1900,conversions per year,2025,Modeled estimate — visa conversions,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
