Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Bulgaria,Healthcare expenditure,Share of GDP,Total,8.6,percent of GDP,2024,https://www.nsi.bg/ / health statistics,true,Latest published health expenditure share of GDP.
Bulgaria,Healthcare expenditure,Per capita,Total,1500,EUR per person,2024,https://www.nsi.bg/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
Bulgaria,Healthcare expenditure,Public/private split,Public financing share,60,percent of current health expenditure,2024,https://www.nsi.bg/ / health statistics,true,Public share of current health expenditure.
Bulgaria,Healthcare expenditure,Public/private split,Private financing share,40,percent of current health expenditure,2024,https://www.nsi.bg/ / health statistics,true,Residual private share.
Bulgaria,Obesity rate,Adult,Total,25,percent of adults,2024,WHO / https://www.nsi.bg/ / health statistics,true,Adult obesity prevalence (BMI 30+).
Bulgaria,Smoking prevalence,Adult,Total,28.2,percent of adults,2024,WHO / https://www.nsi.bg/ / health statistics,true,Adult smoking prevalence.
Bulgaria,Suicide Rate,,Total,9.2,"per 100,000 population",2024,WHO / https://www.nsi.bg/ / health statistics,true,Age-standardised suicide rate.
Bulgaria,"Physicians per 1,000 people",,,4.2,"physicians per 1,000",2024,OECD/WHO / https://www.nsi.bg/ / health statistics,true,Practising physicians density.
Bulgaria,Total number of doctors,,,26880,physicians,2024,OECD/WHO / https://www.nsi.bg/ / health statistics,true,Derived: physician density × population. Modeled derivation.
Bulgaria,Healthy life expectancy,At birth,Total,66.2,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Bulgaria,Preventable mortality rate,,,390,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Bulgaria,Alcohol consumption,,Total,11.2,litres pure alcohol per capita 15+,2024,WHO / https://www.nsi.bg/ / health statistics,true,Annual per-capita alcohol consumption.
