country,year,age_group,male_population,female_population,total_population
Bulgaria,2025,0-4,146859,138970,285829
Bulgaria,2025,5-9,160263,152471,312734
Bulgaria,2025,10-14,151974,144215,296189
Bulgaria,2025,15-19,151874,144120,295994
Bulgaria,2025,20-24,161499,153648,315147
Bulgaria,2025,25-29,190752,167708,358460
Bulgaria,2025,30-34,201611,185945,387556
Bulgaria,2025,35-39,222750,207230,429980
Bulgaria,2025,40-44,205431,205267,410698
Bulgaria,2025,45-49,193267,193105,386372
Bulgaria,2025,50-54,199467,199305,398772
Bulgaria,2025,55-59,252459,252297,504756
Bulgaria,2025,60-64,250739,258173,508912
Bulgaria,2025,65-69,203412,218312,421724
Bulgaria,2025,70-74,159041,189156,348197
Bulgaria,2025,75-79,120190,142548,262738
Bulgaria,2025,80-84,99154,129475,228629
Bulgaria,2025,85-89,66773,105780,172553
Bulgaria,2025,90-94,19639,39638,59277
Bulgaria,2025,95-99,3698,10319,14017
Bulgaria,2025,100+,312,1155,1467
