country,year,age_group,male_population,female_population,total_population
Canada,2025,0-4,1057508,1000698,2058206
Canada,2025,5-9,1136697,1081431,2218128
Canada,2025,10-14,1061441,1007251,2068692
Canada,2025,15-19,1044260,990948,2035208
Canada,2025,20-24,1092884,1039759,2132643
Canada,2025,25-29,1270071,1116638,2386709
Canada,2025,30-34,1320371,1217775,2538146
Canada,2025,35-39,1434467,1334522,2768989
Canada,2025,40-44,1300441,1299408,2599849
Canada,2025,45-49,1202242,1201228,2403470
Canada,2025,50-54,1218891,1217896,2436787
Canada,2025,55-59,1514917,1513940,3028857
Canada,2025,60-64,1476942,1520725,2997667
Canada,2025,65-69,1175693,1261807,2437500
Canada,2025,70-74,901628,1072358,1973986
Canada,2025,75-79,668048,792321,1460369
Canada,2025,80-84,540107,705275,1245382
Canada,2025,85-89,356294,564428,920722
Canada,2025,90-94,102600,207087,309687
Canada,2025,95-99,18907,52757,71664
Canada,2025,100+,1562,5776,7338
