Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Croatia,Healthcare expenditure,Share of GDP,Total,7.4,percent of GDP,2024,https://dzs.gov.hr/ / health statistics,true,Latest published health expenditure share of GDP.
Croatia,Healthcare expenditure,Per capita,Total,1300,EUR per person,2024,https://dzs.gov.hr/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
Croatia,Healthcare expenditure,Public/private split,Public financing share,80,percent of current health expenditure,2024,https://dzs.gov.hr/ / health statistics,true,Public share of current health expenditure.
Croatia,Healthcare expenditure,Public/private split,Private financing share,20,percent of current health expenditure,2024,https://dzs.gov.hr/ / health statistics,true,Residual private share.
Croatia,Obesity rate,Adult,Total,26,percent of adults,2024,WHO / https://dzs.gov.hr/ / health statistics,true,Adult obesity prevalence (BMI 30+).
Croatia,Smoking prevalence,Adult,Total,30.1,percent of adults,2024,WHO / https://dzs.gov.hr/ / health statistics,true,Adult smoking prevalence.
Croatia,Suicide Rate,,Total,11,"per 100,000 population",2024,WHO / https://dzs.gov.hr/ / health statistics,true,Age-standardised suicide rate.
Croatia,"Physicians per 1,000 people",,,3.6,"physicians per 1,000",2024,OECD/WHO / https://dzs.gov.hr/ / health statistics,true,Practising physicians density.
Croatia,Total number of doctors,,,13860,physicians,2024,OECD/WHO / https://dzs.gov.hr/ / health statistics,true,Derived: physician density × population. Modeled derivation.
Croatia,Healthy life expectancy,At birth,Total,68.6,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Croatia,Preventable mortality rate,,,270,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Croatia,Alcohol consumption,,Total,9.6,litres pure alcohol per capita 15+,2024,WHO / https://dzs.gov.hr/ / health statistics,true,Annual per-capita alcohol consumption.
