Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Croatia,Youth unemployment rate,,Ages 15–24,15.8,percent,2024,https://dzs.gov.hr/ / labour statistics,true,Latest published youth unemployment rate.
Croatia,Long-term unemployment rate,,,2.2,percent of labour force,2024,https://dzs.gov.hr/ / labour statistics,true,Long-term (12m+) unemployment.
Croatia,Labour force participation rate,,Total (15–64),53.5,percent,2024,https://dzs.gov.hr/ / labour statistics,true,Latest published participation rate.
Croatia,Labour force participation rate,By migrant/native status,Native-born — total,55,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Croatia,Labour force participation rate,By migrant/native status,Foreign-born — total,47.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Croatia,Labour force participation rate,By migrant/native status,Native-born — men,58.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Croatia,Labour force participation rate,By migrant/native status,Foreign-born — men,52.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Croatia,Labour force participation rate,By migrant/native status,Native-born — women,51.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Croatia,Labour force participation rate,By migrant/native status,Foreign-born — women,41.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Croatia,Minimum wage,,,€970/month,statutory minimum,2024,https://dzs.gov.hr/ / labour statistics,true,Statutory minimum wage (or none where wages are set by collective agreements).
Croatia,Average annual working hours per worker,,,1835,hours per year,2024,https://dzs.gov.hr/ / labour statistics,true,OECD-style average annual hours actually worked.
