country,year,age_group,male_population,female_population,total_population
Croatia,2025,0-4,88345,83599,171944
Croatia,2025,5-9,96408,91721,188129
Croatia,2025,10-14,91422,86754,178176
Croatia,2025,15-19,91362,86697,178059
Croatia,2025,20-24,97152,92429,189581
Croatia,2025,25-29,114749,100887,215636
Croatia,2025,30-34,121281,111858,233139
Croatia,2025,35-39,133998,124662,258660
Croatia,2025,40-44,123580,123481,247061
Croatia,2025,45-49,116263,116164,232427
Croatia,2025,50-54,119992,119894,239886
Croatia,2025,55-59,151870,151773,303643
Croatia,2025,60-64,150836,155307,306143
Croatia,2025,65-69,122365,131328,253693
Croatia,2025,70-74,95673,113789,209462
Croatia,2025,75-79,72302,85751,158053
Croatia,2025,80-84,59647,77887,137534
Croatia,2025,85-89,40168,63633,103801
Croatia,2025,90-94,11814,23845,35659
Croatia,2025,95-99,2225,6207,8432
Croatia,2025,100+,188,695,883
