Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Nikos Christodoulides,name,2025,https://www.cystat.gov.cy/ / government statistics,true,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,independent (DISY-aligned),party,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Overview,governing coalition,,,presidential system; cross-party cabinet,coalition,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Overview,number of coalition parties,,,2,parties,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Parliament,total seats,,,56,seats,2025,https://www.cystat.gov.cy/ / government statistics,true,Lower/main chamber.
Government,Parliament,seats by party,,DISY,17,seats,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Parliament,seats by party,,AKEL,15,seats,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Parliament,seats by party,,DIKO,9,seats,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Parliament,seats by party,,ELAM,4,seats,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Parliament,seats by party,,EDEK,3,seats,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Parliament,seats by party,,Others,8,seats,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Parliament,majority threshold,,,29,seats,2025,https://www.cystat.gov.cy/ / government statistics,true,
Government,Parliament,coalition seat total,,,30,seats,2025,Modeled estimate — coalition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,26,seats,2025,Modeled estimate — opposition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,https://www.cystat.gov.cy/ / government statistics,true,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,41,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,39,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,27,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,55,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,65,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,48,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,44,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (56).
