Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Cyprus,Youth unemployment rate,,Ages 15–24,14.9,percent,2024,https://www.cystat.gov.cy/ / labour statistics,true,Latest published youth unemployment rate.
Cyprus,Long-term unemployment rate,,,1.5,percent of labour force,2024,https://www.cystat.gov.cy/ / labour statistics,true,Long-term (12m+) unemployment.
Cyprus,Labour force participation rate,,Total (15–64),64.5,percent,2024,https://www.cystat.gov.cy/ / labour statistics,true,Latest published participation rate.
Cyprus,Labour force participation rate,By migrant/native status,Native-born — total,66,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Cyprus,Labour force participation rate,By migrant/native status,Foreign-born — total,58.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Cyprus,Labour force participation rate,By migrant/native status,Native-born — men,69.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Cyprus,Labour force participation rate,By migrant/native status,Foreign-born — men,63.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Cyprus,Labour force participation rate,By migrant/native status,Native-born — women,62.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Cyprus,Labour force participation rate,By migrant/native status,Foreign-born — women,52.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Cyprus,Minimum wage,,,"€1,000/month",statutory minimum,2024,https://www.cystat.gov.cy/ / labour statistics,true,Statutory minimum wage (or none where wages are set by collective agreements).
Cyprus,Average annual working hours per worker,,,1837,hours per year,2024,https://www.cystat.gov.cy/ / labour statistics,true,OECD-style average annual hours actually worked.
