country,year,age_group,male_population,female_population,total_population
Cyprus,2025,0-4,26060,24660,50720
Cyprus,2025,5-9,27843,26489,54332
Cyprus,2025,10-14,25837,24518,50355
Cyprus,2025,15-19,25254,23964,49218
Cyprus,2025,20-24,26251,24975,51226
Cyprus,2025,25-29,30292,26633,56925
Cyprus,2025,30-34,31261,28831,60092
Cyprus,2025,35-39,33702,31353,65055
Cyprus,2025,40-44,30309,30284,60593
Cyprus,2025,45-49,27785,27762,55547
Cyprus,2025,50-54,27923,27901,55824
Cyprus,2025,55-59,34387,34364,68751
Cyprus,2025,60-64,33202,34186,67388
Cyprus,2025,65-69,26163,28079,54242
Cyprus,2025,70-74,19851,23610,43461
Cyprus,2025,75-79,14544,17249,31793
Cyprus,2025,80-84,11620,15173,26793
Cyprus,2025,85-89,7570,11991,19561
Cyprus,2025,90-94,2151,4342,6493
Cyprus,2025,95-99,391,1091,1482
Cyprus,2025,100+,32,117,149
