Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Czech Republic,Healthcare expenditure,Share of GDP,Total,9.5,percent of GDP,2024,https://www.czso.cz/ / health statistics,true,Latest published health expenditure share of GDP.
Czech Republic,Healthcare expenditure,Per capita,Total,3000,EUR per person,2024,https://www.czso.cz/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
Czech Republic,Healthcare expenditure,Public/private split,Public financing share,84,percent of current health expenditure,2024,https://www.czso.cz/ / health statistics,true,Public share of current health expenditure.
Czech Republic,Healthcare expenditure,Public/private split,Private financing share,16,percent of current health expenditure,2024,https://www.czso.cz/ / health statistics,true,Residual private share.
Czech Republic,Obesity rate,Adult,Total,26,percent of adults,2024,WHO / https://www.czso.cz/ / health statistics,true,Adult obesity prevalence (BMI 30+).
Czech Republic,Smoking prevalence,Adult,Total,23.2,percent of adults,2024,WHO / https://www.czso.cz/ / health statistics,true,Adult smoking prevalence.
Czech Republic,Suicide Rate,,Total,11.4,"per 100,000 population",2024,WHO / https://www.czso.cz/ / health statistics,true,Age-standardised suicide rate.
Czech Republic,"Physicians per 1,000 people",,,4.3,"physicians per 1,000",2024,OECD/WHO / https://www.czso.cz/ / health statistics,true,Practising physicians density.
Czech Republic,Total number of doctors,,,46870,physicians,2024,OECD/WHO / https://www.czso.cz/ / health statistics,true,Derived: physician density × population. Modeled derivation.
Czech Republic,Healthy life expectancy,At birth,Total,68.9,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Czech Republic,Preventable mortality rate,,,220,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Czech Republic,Alcohol consumption,,Total,11.6,litres pure alcohol per capita 15+,2024,WHO / https://www.czso.cz/ / health statistics,true,Annual per-capita alcohol consumption.
