Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Czech Republic,Youth unemployment rate,,Ages 15–24,7.9,percent,2024,https://www.czso.cz/ / labour statistics,true,Latest published youth unemployment rate.
Czech Republic,Long-term unemployment rate,,,0.8,percent of labour force,2024,https://www.czso.cz/ / labour statistics,true,Long-term (12m+) unemployment.
Czech Republic,Labour force participation rate,,Total (15–64),60.5,percent,2024,https://www.czso.cz/ / labour statistics,true,Latest published participation rate.
Czech Republic,Labour force participation rate,By migrant/native status,Native-born — total,62,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Czech Republic,Labour force participation rate,By migrant/native status,Foreign-born — total,54.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Czech Republic,Labour force participation rate,By migrant/native status,Native-born — men,65.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Czech Republic,Labour force participation rate,By migrant/native status,Foreign-born — men,59.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Czech Republic,Labour force participation rate,By migrant/native status,Native-born — women,58.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Czech Republic,Labour force participation rate,By migrant/native status,Foreign-born — women,48.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Czech Republic,Minimum wage,,,"CZK 20,800/month",statutory minimum,2024,https://www.czso.cz/ / labour statistics,true,Statutory minimum wage (or none where wages are set by collective agreements).
Czech Republic,Average annual working hours per worker,,,1753,hours per year,2024,https://www.czso.cz/ / labour statistics,true,OECD-style average annual hours actually worked.
