country,year,age_group,male_population,female_population,total_population
Czech Republic,2025,0-4,259629,245681,505310
Czech Republic,2025,5-9,282125,268409,550534
Czech Republic,2025,10-14,266393,252793,519186
Czech Republic,2025,15-19,265076,251544,516620
Czech Republic,2025,20-24,280660,267018,547678
Czech Republic,2025,25-29,330060,290187,620247
Czech Republic,2025,30-34,347326,320337,667663
Czech Republic,2025,35-39,382057,355438,737495
Czech Republic,2025,40-44,350794,350516,701310
Czech Republic,2025,45-49,328556,328279,656835
Czech Republic,2025,50-54,337579,337303,674882
Czech Republic,2025,55-59,425338,425064,850402
Czech Republic,2025,60-64,420526,432992,853518
Czech Republic,2025,65-69,339595,364469,704064
Czech Republic,2025,70-74,264298,314345,578643
Czech Republic,2025,75-79,198812,235796,434608
Czech Republic,2025,80-84,163252,213175,376427
Czech Republic,2025,85-89,109425,173346,282771
Czech Republic,2025,90-94,32031,64652,96683
Czech Republic,2025,95-99,6003,16751,22754
Czech Republic,2025,100+,505,1866,2371
