country,year,age_group,male_population,female_population,total_population
Denmark,2025,0-4,152679,144476,297155
Denmark,2025,5-9,164663,156657,321320
Denmark,2025,10-14,154294,146416,300710
Denmark,2025,15-19,152337,144560,296897
Denmark,2025,20-24,160016,152237,312253
Denmark,2025,25-29,186662,164112,350774
Denmark,2025,30-34,194812,179675,374487
Denmark,2025,35-39,212498,197693,410191
Denmark,2025,40-44,193445,193291,386736
Denmark,2025,45-49,179605,179454,359059
Denmark,2025,50-54,182900,182751,365651
Denmark,2025,55-59,228363,228216,456579
Denmark,2025,60-64,223695,230326,454021
Denmark,2025,65-69,178943,192050,370993
Denmark,2025,70-74,137928,164046,301974
Denmark,2025,75-79,102734,121846,224580
Denmark,2025,80-84,83514,109052,192566
Denmark,2025,85-89,55404,87770,143174
Denmark,2025,90-94,16049,32392,48441
Denmark,2025,95-99,2975,8303,11278
Denmark,2025,100+,247,915,1162
