Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Kristen Michal,name,2025,Statistics Estonia / government statistics,https://www.stat.ee/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Reform,party,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Overview,head of government political ideology,,,liberal,ideology,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Overview,governing coalition,,,Reform–Eesti 200 coalition,coalition,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Overview,number of coalition parties,,,2,parties,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Parliament,total seats,,,101,seats,2025,Statistics Estonia / government statistics,https://www.stat.ee/,Lower/main chamber.
Government,Parliament,seats by party,,Reform,37,seats,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Parliament,seats by party,,EKRE,17,seats,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Parliament,seats by party,,Keskerakond,16,seats,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Parliament,seats by party,,Eesti 200,14,seats,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Parliament,seats by party,,SDE,9,seats,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Parliament,seats by party,,Isamaa,8,seats,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Parliament,majority threshold,,,51,seats,2025,Statistics Estonia / government statistics,https://www.stat.ee/,
Government,Parliament,coalition seat total,,,55,seats,2025,Modeled estimate — coalition seats,https://www.stat.ee/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,46,seats,2025,Modeled estimate — opposition seats,https://www.stat.ee/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,Statistics Estonia / government statistics,https://www.stat.ee/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,https://www.stat.ee/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,52,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,50,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,38,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,66,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,76,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,59,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,24,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (76).
Government,Policies,immigration law changes,,,5,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.ee/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.ee/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.ee/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.ee/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.ee/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.ee/,Modeled estimate (population-scaled from published patterns); not an official published figure.
