country,year,age_group,male_population,female_population,total_population
Estonia,2025,0-4,34978,33099,68077
Estonia,2025,5-9,37724,35889,73613
Estonia,2025,10-14,35348,33544,68892
Estonia,2025,15-19,34900,33118,68018
Estonia,2025,20-24,36659,34877,71536
Estonia,2025,25-29,42764,37597,80361
Estonia,2025,30-34,44631,41163,85794
Estonia,2025,35-39,48683,45291,93974
Estonia,2025,40-44,44318,44282,88600
Estonia,2025,45-49,41147,41112,82259
Estonia,2025,50-54,41902,41868,83770
Estonia,2025,55-59,52317,52284,104601
Estonia,2025,60-64,51248,52767,104015
Estonia,2025,65-69,40995,43998,84993
Estonia,2025,70-74,31599,37582,69181
Estonia,2025,75-79,23536,27915,51451
Estonia,2025,80-84,19133,24983,44116
Estonia,2025,85-89,12693,20108,32801
Estonia,2025,90-94,3677,7421,11098
Estonia,2025,95-99,682,1902,2584
Estonia,2025,100+,57,209,266
