Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Finland,Healthcare expenditure,Share of GDP,Total,10.4,percent of GDP,2024,https://www.stat.fi/ / health statistics,true,Latest published health expenditure share of GDP.
Finland,Healthcare expenditure,Per capita,Total,4600,EUR per person,2024,https://www.stat.fi/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
Finland,Healthcare expenditure,Public/private split,Public financing share,80,percent of current health expenditure,2024,https://www.stat.fi/ / health statistics,true,Public share of current health expenditure.
Finland,Healthcare expenditure,Public/private split,Private financing share,20,percent of current health expenditure,2024,https://www.stat.fi/ / health statistics,true,Residual private share.
Finland,Obesity rate,Adult,Total,22.8,percent of adults,2024,WHO / https://www.stat.fi/ / health statistics,true,Adult obesity prevalence (BMI 30+).
Finland,Smoking prevalence,Adult,Total,15,percent of adults,2024,WHO / https://www.stat.fi/ / health statistics,true,Adult smoking prevalence.
Finland,Suicide Rate,,Total,13.4,"per 100,000 population",2024,WHO / https://www.stat.fi/ / health statistics,true,Age-standardised suicide rate.
Finland,"Physicians per 1,000 people",,,3.6,"physicians per 1,000",2024,OECD/WHO / https://www.stat.fi/ / health statistics,true,Practising physicians density.
Finland,Total number of doctors,,,20160,physicians,2024,OECD/WHO / https://www.stat.fi/ / health statistics,true,Derived: physician density × population. Modeled derivation.
Finland,Healthy life expectancy,At birth,Total,70.3,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Finland,Preventable mortality rate,,,150,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Finland,Alcohol consumption,,Total,8.6,litres pure alcohol per capita 15+,2024,WHO / https://www.stat.fi/ / health statistics,true,Annual per-capita alcohol consumption.
