country,year,age_group,male_population,female_population,total_population
Finland,2025,0-4,135807,128512,264319
Finland,2025,5-9,147280,140120,287400
Finland,2025,10-14,138787,131702,270489
Finland,2025,15-19,137819,130783,268602
Finland,2025,20-24,145619,138541,284160
Finland,2025,25-29,170891,150247,321138
Finland,2025,30-34,179449,165506,344955
Finland,2025,35-39,196970,183246,380216
Finland,2025,40-44,180459,180315,360774
Finland,2025,45-49,168646,168504,337150
Finland,2025,50-54,172891,172749,345640
Finland,2025,55-59,217344,217203,434547
Finland,2025,60-64,214392,220748,435140
Finland,2025,65-69,172730,185381,358111
Finland,2025,70-74,134115,159511,293626
Finland,2025,75-79,100644,119366,220010
Finland,2025,80-84,82443,107654,190097
Finland,2025,85-89,55124,87326,142450
Finland,2025,90-94,16096,32488,48584
Finland,2025,95-99,3009,8396,11405
Finland,2025,100+,252,933,1185
