country,year,age_group,male_population,female_population,total_population
France,2025,0-4,1790000,1710000,3500000
France,2025,5-9,1995000,1905000,3900000
France,2025,10-14,1997000,1903000,3900000
France,2025,15-19,2070000,1980000,4050000
France,2025,20-24,2010000,1940000,3950000
France,2025,25-29,1960000,1940000,3900000
France,2025,30-34,2070000,2080000,4150000
France,2025,35-39,2140000,2160000,4300000
France,2025,40-44,2110000,2140000,4250000
France,2025,45-49,2130000,2170000,4300000
France,2025,50-54,2190000,2260000,4450000
France,2025,55-59,2240000,2360000,4600000
France,2025,60-64,2070000,2230000,4300000
France,2025,65-69,1870000,2080000,3950000
France,2025,70-74,1730000,2020000,3750000
France,2025,75-79,1340000,1710000,3050000
France,2025,80-84,830000,1220000,2050000
France,2025,85-89,470000,880000,1350000
France,2025,90-94,200000,500000,700000
France,2025,95-99,45000,155000,200000
France,2025,100+,7000,33000,40000
