flow_type,country,population,male_share_percent,share_of_total_flow_percent,total_flow_2024,source,source_url,original_source
Immigrants,Algeria,1405235,48.2,16.9565,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Morocco,1066129,48.3,12.8640,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Portugal,585896,49.9,7.0698,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Tunisia,444223,52.6,5.3600,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Italy,303685,48.6,3.6644,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Turkey,260167,52.8,3.1394,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Spain,254830,44.2,3.0750,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Comoros,231788,44.1,2.7969,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Germany,189761,42.8,2.2898,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Senegal,176632,52.3,2.1314,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Côte d'Ivoire,169206,48.5,2.0417,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Belgium,169102,44.8,2.0405,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,United Kingdom,163042,48.6,1.9673,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Madagascar,162751,39.3,1.9638,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Romania,156668,46.2,1.8904,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Cameroon,127995,41.5,1.5445,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,China,120595,37.0,1.4552,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Mali,120393,65.6,1.4528,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,D.R. Congo,120178,44.1,1.4502,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Haiti,116971,40.9,1.4115,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Viet Nam,116008,41.1,1.3999,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Ukraine,99261,32.0,1.1978,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Serbia,96840,49.0,1.1685,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Switzerland,96066,44.4,1.1592,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Congo,94890,43.7,1.1450,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Guinea,92446,60.7,1.1155,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Afghanistan,89849,80.1,1.0842,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Russian Federation,85277,34.8,1.0290,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Poland,84406,35.3,1.0185,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
Immigrants,Brazil,72483,36.2,0.8747,8287342,PopulationPyramid.net France Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/france/2024/,UN DESA International Migrant Stock 2024
