Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
France,Total number of abortions,National total,IVGs performed in France,251270,abortions,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/250925-ER-ivg-en-france-en-2024,Official SNDS total excluding repeat procedures after failure. It includes 211 IVGs for women resident abroad.
France,Total number of abortions,In health establishments,,138960,abortions,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/250925-ER-ivg-en-france-en-2024,Official count performed in health establishments.
France,Total number of abortions,Outside health establishments,,112310,abortions,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/250925-ER-ivg-en-france-en-2024,Official count performed in private offices and health or sexual-health centers. This equals 45 percent of the national total.
France,Total number of abortions,Annual change,2024 versus revised 2023,+7049,abortions,2023-2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,Computed from 251270 in 2024 and the revised 2023 total of 244221. The increase was 2.9 percent.
France,Abortion ratio,IVGs per live births,National ratio,380,abortions per 1000 live births,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,DREES reports a ratio of 0.38 or 38 IVGs per 100 live births.
France,Abortion ratio,Rate among reproductive-age women,Women aged 15 to 49,17.3,abortions per 1000 women,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/250925-ER-ivg-en-france-en-2024,Official crude national rate for metropolitan France and the DROM.
France,Abortion ratio,Synthetic abortion index,Expected lifetime IVGs under 2024 age-specific rates,0.61,abortions per woman,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,Period indicator rather than the observed lifetime experience of a real cohort.
France,Abortion ratio,Recent prior IVG,Women with an IVG in the preceding 12 months,9.5,percent,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,DREES identified 21514 women whose care history included an IVG in the preceding twelve months.
France,Gestational age at abortion,Hospital IVGs,Before 10 weeks amenorrhea,77,percent,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,Hospital IVGs only. Exact gestational age is unavailable for medication IVGs performed in private offices.
France,Gestational age at abortion,Hospital IVGs,10 to 11 weeks amenorrhea,11.2,percent,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,Approximate residual share based on the published hospital distribution. About 2 percent had unknown or aberrant gestational age.
France,Gestational age at abortion,Hospital IVGs,12 to 13 weeks amenorrhea,6.5,percent,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,Official share among IVGs performed in health establishments.
France,Gestational age at abortion,Hospital IVGs,14 to 16 weeks amenorrhea,3.3,percent,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,Official share among IVGs performed in health establishments.
France,Method of abortion,National method split,Medication-based,80,percent,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/250925-ER-ivg-en-france-en-2024,Official rounded national share across all settings.
France,Method of abortion,National method split,Instrumental or surgical,20,percent,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/250925-ER-ivg-en-france-en-2024,Complement of the official rounded medication share. Instrumental IVGs occur mainly in health establishments.
France,Method of abortion,Hospital method split,Medication-based in establishments,64,percent,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/250925-ER-ivg-en-france-en-2024,Official rounded share within health establishments rather than across every setting.
France,Late-term abortions,12 to 16 weeks amenorrhea,Share of all IVGs,5.4,percent,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,DREES defines late IVGs here as hospital procedures from 12 to 16 weeks amenorrhea. The share cannot be determined with complete precision.
France,Late-term abortions,12 to 16 weeks amenorrhea,Approximate national count,13600,abortions,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,Approximation obtained by applying the published 5.4 percent share to the national total. It is not a separately published exact count.
France,Late-term abortions,Hospital IVGs from 14 to 16 weeks,National count,4500,abortions,2024,DREES national IVG study 2024,https://www.drees.solidarites-sante.gouv.fr/sites/default/files/2025-09/ER%201350%20IVG%20embargo_0.pdf,Published count for IVGs performed from 14 to 16 weeks amenorrhea after the 2022 legal extension.
France,Number of abortion-providing facilities,Health establishments,At least one IVG during the year,554,establishments,2024,INED demographic review 2025,https://www.ined.fr/fichier/rte/General/Publications/Conjoncture/FR/Conjoncture2025-15dec2025.pdf,National count of establishments with at least one recorded IVG in 2024.
France,Number of abortion-providing facilities,Regular-volume establishments,At least 12 IVGs during the year,469,establishments,2024,INED demographic review 2025,https://www.ined.fr/fichier/rte/General/Publications/Conjoncture/FR/Conjoncture2025-15dec2025.pdf,Subset of the 554 establishments providing at least one IVG.
France,Number of abortion-providing facilities,Instrumental provision,At least one instrumental IVG,470,establishments,2024,INED demographic review 2025,https://www.ined.fr/fichier/rte/General/Publications/Conjoncture/FR/Conjoncture2025-15dec2025.pdf,National count of establishments offering an instrumental method during 2024.
France,Number of abortion-providing facilities,Regular instrumental provision,At least 12 instrumental IVGs,353,establishments,2024,INED demographic review 2025,https://www.ined.fr/fichier/rte/General/Publications/Conjoncture/FR/Conjoncture2025-15dec2025.pdf,Subset with at least twelve instrumental IVGs during the year.
