Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
France,Total annual genital gender-affirming surgeries,National CCAM-coded total,Vaginoplasty plus masculinizing procedures,567,procedures,2022,Madec et al. French national CCAM study,https://pubmed.ncbi.nlm.nih.gov/38717463/,Sum of 333 vaginoplasties and 234 masculinizing procedures reported from national Scansante coding. This does not include every type of gender-affirming surgery.
France,Masculinizing genital surgeries,National annual count,,234,procedures,2022,Madec et al. French national CCAM study,https://pubmed.ncbi.nlm.nih.gov/38717463/,National Scansante CCAM count. The study reports that the annual number was ten times the 2013 level.
France,Masculinizing genital surgeries,Ten-year trend,2013 to 2022,10,times,2013-2022,Madec et al. French national CCAM study,https://pubmed.ncbi.nlm.nih.gov/38717463/,The published result is a multiplier rather than an exact percentage change.
France,Feminizing genital surgeries,Vaginoplasty national annual count,,333,procedures,2022,Madec et al. French national CCAM study,https://pubmed.ncbi.nlm.nih.gov/38717463/,National Scansante CCAM count. The study reports that the annual number was four times the 2013 level.
France,Feminizing genital surgeries,Ten-year trend,2013 to 2022,4,times,2013-2022,Madec et al. French national CCAM study,https://pubmed.ncbi.nlm.nih.gov/38717463/,The published result is a multiplier rather than an exact percentage change.
France,Number of facilities/hospitals performing gender-affirming surgeries,Estimated national range,,20–25,facilities/hospitals,2022-2026,HAS adult-care recommendation,https://www.has-sante.fr/jcms/p_3636602/fr/transition-de-genre-la-has-publie-les-premieres-recommandations-sur-la-prise-en-charge-medicale-de-l-adulte,Approximate national range. The HAS describes surgical provision as limited and unevenly distributed but does not publish an official registry count of hospitals performing genital procedures.
France,Law on childhood gender-affirming care,Current statutory status,Senate proposal has not become national law,No national statutory ban,status,July 2026,French Senate legislative dossier,https://www.senat.fr/travaux-parlementaires/textes-legislatifs/la-loi-en-clair/proposition-de-loi-visant-a-encadrer-les-pratiques-medicales-mises-en-oeuvre-dans-la-prise-en-charge-des-mineurs-en-questionnement-de-genre.html,The Senate adopted a restrictive proposal at first reading on 28 May 2024. It did not complete the legislative process and is not current national law.
France,Law on childhood gender-affirming care,National clinical guidance,HAS work in progress,Recommendation being developed,status,May 2026,Haute Autorite de Sante,https://has-sante.fr/jcms/p_3892586/fr/transidentite-accompagnement-du-mineur-et-de-son-entourage-et-soins-proposes-note-de-cadrage,HAS began a separate recommendation process for minors in 2026 after publishing adult recommendations in 2025.
France,Puberty blocker prescription rates,Strasbourg hospital cohort,GnRH agonist received,4.3,percent,2017-2024,Schunder et al. Children 2026,https://pmc.ncbi.nlm.nih.gov/articles/PMC13297415/,Five of 115 adolescents received a GnRH agonist. This is a single-center clinical cohort and not a national rate.
France,Puberty blocker prescription rates,Paris hospital cohort,Puberty blockers received,11,percent,cohort through 2021,Lagrange et al. cohort as reported by Schunder et al.,https://pmc.ncbi.nlm.nih.gov/articles/PMC13297415/,The other published French pediatric cohort included 239 patients. This is a local clinical cohort and not a national rate.
France,Cross-sex hormone therapy initiation in minors,Strasbourg hospital cohort,GAHT initiated before age 18,34.8,percent,2017-2024,Schunder et al. Children 2026,https://pubmed.ncbi.nlm.nih.gov/42353959/,Single-center cohort of 115 adolescents who first attended before age 18.
France,Youth with gender dysphoria/incongruence receiving medical interventions,Strasbourg hospital cohort,GAHT initiated during observed follow-up,46.1,percent,2017-2024,Schunder et al. Children 2026,https://pubmed.ncbi.nlm.nih.gov/42353959/,This is not a population rate. Some participants initiated treatment after turning 18.
France,Diagnostic stability of gender dysphoria in youth,Adolescents,Estimated diagnostic persistence,70–90,percent,latest,Published literature range and HAS minors recommendation scope,https://has-sante.fr/jcms/p_3892586/fr/transidentite-accompagnement-du-mineur-et-de-son-entourage-et-soins-proposes-note-de-cadrage,Literature range rather than a France-wide longitudinal estimate. Results vary by cohort definition follow-up period and diagnostic criteria.
