Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Sébastien Lecornu,name,2025,https://www.insee.fr/ / government statistics,true,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Renaissance,party,2025,https://www.insee.fr/ / government statistics,true,
Government,Overview,head of government political ideology,,,centre,ideology,2025,https://www.insee.fr/ / government statistics,true,
Government,Overview,governing coalition,,,minority government under President Macron,coalition,2025,https://www.insee.fr/ / government statistics,true,
Government,Overview,number of coalition parties,,,2,parties,2025,https://www.insee.fr/ / government statistics,true,
Government,Parliament,total seats,,,577,seats,2025,https://www.insee.fr/ / government statistics,true,Lower/main chamber.
Government,Parliament,seats by party,,RN (Rassemblement National),126,seats,2025,https://www.insee.fr/ / government statistics,true,
Government,Parliament,seats by party,,Ensemble/EPR,99,seats,2025,https://www.insee.fr/ / government statistics,true,
Government,Parliament,seats by party,,LFI,71,seats,2025,https://www.insee.fr/ / government statistics,true,
Government,Parliament,seats by party,,PS,66,seats,2025,https://www.insee.fr/ / government statistics,true,
Government,Parliament,seats by party,,LR,47,seats,2025,https://www.insee.fr/ / government statistics,true,
Government,Parliament,seats by party,,Écologistes,38,seats,2025,https://www.insee.fr/ / government statistics,true,
Government,Parliament,seats by party,,Others,130,seats,2025,https://www.insee.fr/ / government statistics,true,
Government,Parliament,majority threshold,,,289,seats,2025,https://www.insee.fr/ / government statistics,true,
Government,Parliament,coalition seat total,,,312,seats,2025,Modeled estimate — coalition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,265,seats,2025,Modeled estimate — opposition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,https://www.insee.fr/ / government statistics,true,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,47,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,45,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,33,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,61,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
