Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
France,Healthcare expenditure,Share of GDP,Total,12.1,percent of GDP,2024,https://www.insee.fr/ / health statistics,true,Latest published health expenditure share of GDP.
France,Healthcare expenditure,Per capita,Total,4700,EUR per person,2024,https://www.insee.fr/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
France,Healthcare expenditure,Public/private split,Public financing share,84,percent of current health expenditure,2024,https://www.insee.fr/ / health statistics,true,Public share of current health expenditure.
France,Healthcare expenditure,Public/private split,Private financing share,16,percent of current health expenditure,2024,https://www.insee.fr/ / health statistics,true,Residual private share.
France,Obesity rate,Adult,Total,21.6,percent of adults,2024,WHO / https://www.insee.fr/ / health statistics,true,Adult obesity prevalence (BMI 30+).
France,Smoking prevalence,Adult,Total,25.3,percent of adults,2024,WHO / https://www.insee.fr/ / health statistics,true,Adult smoking prevalence.
France,Suicide Rate,,Total,13.2,"per 100,000 population",2024,WHO / https://www.insee.fr/ / health statistics,true,Age-standardised suicide rate.
France,"Physicians per 1,000 people",,,3.4,"physicians per 1,000",2024,OECD/WHO / https://www.insee.fr/ / health statistics,true,Practising physicians density.
France,Total number of doctors,,,232560,physicians,2024,OECD/WHO / https://www.insee.fr/ / health statistics,true,Derived: physician density × population. Modeled derivation.
France,Healthy life expectancy,At birth,Total,72.1,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
France,Preventable mortality rate,,,140,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
France,Alcohol consumption,,Total,10.4,litres pure alcohol per capita 15+,2024,WHO / https://www.insee.fr/ / health statistics,true,Annual per-capita alcohol consumption.
