country,year,age_group,male_population,female_population,total_population
France,2025,0-4,1746354,1652538,3398892
France,2025,5-9,1883435,1791863,3675298
France,2025,10-14,1764827,1674727,3439554
France,2025,15-19,1742448,1653492,3395940
France,2025,20-24,1830277,1741308,3571585
France,2025,25-29,2135065,1877136,4012201
France,2025,30-34,2228287,2055142,4283429
France,2025,35-39,2430584,2261237,4691821
France,2025,40-44,2212648,2210890,4423538
France,2025,45-49,2054347,2052614,4106961
France,2025,50-54,2092036,2090328,4182364
France,2025,55-59,2612044,2610360,5222404
France,2025,60-64,2558651,2634501,5193152
France,2025,65-69,2046772,2196690,4243462
France,2025,70-74,1577637,1876375,3454012
France,2025,75-79,1175091,1393686,2568777
France,2025,80-84,955239,1247358,2202597
France,2025,85-89,633723,1003921,1637644
France,2025,90-94,183565,370508,554073
France,2025,95-99,34035,94968,129003
France,2025,100+,2830,10463,13293
