country,year,age_group,male_population,female_population,total_population
Greece,2025,0-4,229457,217130,446587
Greece,2025,5-9,251559,239328,490887
Greece,2025,10-14,239649,227414,467063
Greece,2025,15-19,240594,228311,468905
Greece,2025,20-24,257017,244523,501540
Greece,2025,25-29,304962,268120,573082
Greece,2025,30-34,323793,298634,622427
Greece,2025,35-39,359372,334334,693706
Greece,2025,40-44,332936,332671,665607
Greece,2025,45-49,314641,314376,629017
Greece,2025,50-54,326202,325936,652138
Greece,2025,55-59,414723,414455,829178
Greece,2025,60-64,413748,426013,839761
Greece,2025,65-69,337156,361852,699008
Greece,2025,70-74,264788,314928,579716
Greece,2025,75-79,200996,238387,439383
Greece,2025,80-84,166554,217487,384041
Greece,2025,85-89,112660,178472,291132
Greece,2025,90-94,33281,67174,100455
Greece,2025,95-99,6295,17564,23859
Greece,2025,100+,534,1975,2509
