Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Hungary,Healthcare expenditure,Share of GDP,Total,7,percent of GDP,2024,https://www.ksh.hu/ / health statistics,true,Latest published health expenditure share of GDP.
Hungary,Healthcare expenditure,Per capita,Total,1400,EUR per person,2024,https://www.ksh.hu/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
Hungary,Healthcare expenditure,Public/private split,Public financing share,69,percent of current health expenditure,2024,https://www.ksh.hu/ / health statistics,true,Public share of current health expenditure.
Hungary,Healthcare expenditure,Public/private split,Private financing share,31,percent of current health expenditure,2024,https://www.ksh.hu/ / health statistics,true,Residual private share.
Hungary,Obesity rate,Adult,Total,26,percent of adults,2024,WHO / https://www.ksh.hu/ / health statistics,true,Adult obesity prevalence (BMI 30+).
Hungary,Smoking prevalence,Adult,Total,26,percent of adults,2024,WHO / https://www.ksh.hu/ / health statistics,true,Adult smoking prevalence.
Hungary,Suicide Rate,,Total,15.1,"per 100,000 population",2024,WHO / https://www.ksh.hu/ / health statistics,true,Age-standardised suicide rate.
Hungary,"Physicians per 1,000 people",,,3.4,"physicians per 1,000",2024,OECD/WHO / https://www.ksh.hu/ / health statistics,true,Practising physicians density.
Hungary,Total number of doctors,,,32640,physicians,2024,OECD/WHO / https://www.ksh.hu/ / health statistics,true,Derived: physician density × population. Modeled derivation.
Hungary,Healthy life expectancy,At birth,Total,66.8,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Hungary,Preventable mortality rate,,,300,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Hungary,Alcohol consumption,,Total,10.5,litres pure alcohol per capita 15+,2024,WHO / https://www.ksh.hu/ / health statistics,true,Annual per-capita alcohol consumption.
