country,year,age_group,male_population,female_population,total_population
Hungary,2025,0-4,228664,216380,445044
Hungary,2025,5-9,248477,236397,484874
Hungary,2025,10-14,234622,222643,457265
Hungary,2025,15-19,233462,221543,455005
Hungary,2025,20-24,247187,235172,482359
Hungary,2025,25-29,290695,255577,546272
Hungary,2025,30-34,305901,282132,588033
Hungary,2025,35-39,336491,313046,649537
Hungary,2025,40-44,308957,308711,617668
Hungary,2025,45-49,289371,289126,578497
Hungary,2025,50-54,297317,297075,594392
Hungary,2025,55-59,374610,374368,748978
Hungary,2025,60-64,370371,381351,751722
Hungary,2025,65-69,299093,321000,620093
Hungary,2025,70-74,232776,276855,509631
Hungary,2025,75-79,175101,207673,382774
Hungary,2025,80-84,143781,187751,331532
Hungary,2025,85-89,96374,152672,249046
Hungary,2025,90-94,28211,56941,85152
Hungary,2025,95-99,5287,14753,20040
Hungary,2025,100+,445,1643,2088
