Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Kristrún Frostadóttir,name,2025,Statistics Iceland / government statistics,https://www.statice.is/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Samfylkingin,party,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Overview,head of government political ideology,,,centre-left,ideology,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Overview,governing coalition,,,S–Viðreisn–Flokkur fólksins coalition,coalition,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Overview,number of coalition parties,,,3,parties,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Parliament,total seats,,,63,seats,2025,Statistics Iceland / government statistics,https://www.statice.is/,Lower/main chamber.
Government,Parliament,seats by party,,Samfylkingin,15,seats,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Parliament,seats by party,,Sjálfstæðisflokkur,14,seats,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Parliament,seats by party,,Viðreisn,11,seats,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Parliament,seats by party,,Flokkur fólksins,10,seats,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Parliament,seats by party,,Miðflokkurinn,8,seats,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Parliament,seats by party,,Framsókn,5,seats,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Parliament,majority threshold,,,32,seats,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Parliament,coalition seat total,,,34,seats,2025,Modeled estimate — coalition seats,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,29,seats,2025,Modeled estimate — opposition seats,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,Statistics Iceland / government statistics,https://www.statice.is/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,53,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,51,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,39,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,67,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,77,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,60,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,23,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (77).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,8,percent of vote (latest national election),2025,Statistics Iceland / government statistics,https://www.statice.is/,Approximate national-election share.
Government,Polarization,far-left vote share,,,5,percent of vote (latest national election),2025,Statistics Iceland / government statistics,https://www.statice.is/,Approximate national-election share.
Government,Polarization,center-right vote share,,,42,percent of vote (latest national election),2025,Statistics Iceland / government statistics,https://www.statice.is/,Approximate national-election share.
Government,Polarization,center-left vote share,,,40,percent of vote (latest national election),2025,Statistics Iceland / government statistics,https://www.statice.is/,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,11,percent,2025,Modeled estimate — anti-establishment share,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,5,effective parties,2025,Modeled estimate — ENP,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,moderate,qualitative,2025,Modeled estimate — stability,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,5.6,percentage points (net),2025,Modeled estimate — swing,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,naturalizations per year,,,1500,people,2025,Statistics Iceland / government statistics,https://www.statice.is/,Latest published/estimated annual naturalizations.
Government,Citizenship,naturalizations by prior nationality,,Poland,300,people,2025,Modeled estimate — naturalization origins,https://www.statice.is/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Denmark,180,people,2025,Modeled estimate — naturalization origins,https://www.statice.is/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Lithuania,135,people,2025,Modeled estimate — naturalization origins,https://www.statice.is/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,United States,105,people,2025,Modeled estimate — naturalization origins,https://www.statice.is/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Philippines,75,people,2025,Modeled estimate — naturalization origins,https://www.statice.is/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,average years of residence before naturalization,,,8,years,2025,Modeled estimate — residence duration,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,dual-citizenship cases,,,825,people (of annual naturalizations),2025,Modeled estimate — dual citizenship,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,denaturalization / loss of citizenship counts where applicable,,,rare; not systematically published,qualitative,2025,Statistics Iceland / government statistics,https://www.statice.is/,
Government,Citizenship,applications for naturalization,,,2025,applications,2025,Modeled estimate — applications,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,approval,,84,percent,2025,Modeled estimate — approval rate,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,rejection,,16,percent,2025,Modeled estimate — rejection rate,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Total,77.3,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Nationals / native-born,79.3,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Foreign nationals / foreign-born,68.3,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Nationals,6.4,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Foreign nationals,15.5,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Nationals,18000,people,2025,Modeled estimate — social assistance,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Foreign nationals,8800,people,2025,Modeled estimate — social assistance,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,benefit fraud cases,,,700,cases per year,2025,Modeled estimate — benefit fraud,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,illegal employment cases,,,470,cases per year,2025,Modeled estimate — illegal employment,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,minimum wage enforcement cases,,,n/a (no statutory minimum wage),qualitative,2025,Modeled estimate — enforcement,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,work-permit grants,,,840,permits per year,2025,Modeled estimate — work permits,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
