Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Iceland,Healthcare expenditure,Share of GDP,Total,9,percent of GDP,2024,Statistics Iceland / health statistics,https://www.statice.is/,Latest published health expenditure share of GDP.
Iceland,Healthcare expenditure,Per capita,Total,4900,EUR per person,2024,Statistics Iceland / health statistics,https://www.statice.is/,Approximate per-capita health expenditure (EUR-converted).
Iceland,Healthcare expenditure,Public/private split,Public financing share,82,percent of current health expenditure,2024,Statistics Iceland / health statistics,https://www.statice.is/,Public share of current health expenditure.
Iceland,Healthcare expenditure,Public/private split,Private financing share,18,percent of current health expenditure,2024,Statistics Iceland / health statistics,https://www.statice.is/,Residual private share.
Iceland,Obesity rate,Adult,Total,24,percent of adults,2024,WHO / Statistics Iceland / health statistics,https://www.statice.is/,Adult obesity prevalence (BMI 30+).
Iceland,Smoking prevalence,Adult,Total,11.2,percent of adults,2024,WHO / Statistics Iceland / health statistics,https://www.statice.is/,Adult smoking prevalence.
Iceland,Suicide Rate,,Total,11.2,"per 100,000 population",2024,WHO / Statistics Iceland / health statistics,https://www.statice.is/,Age-standardised suicide rate.
Iceland,"Physicians per 1,000 people",,,4.1,"physicians per 1,000",2024,OECD/WHO / Statistics Iceland / health statistics,https://www.statice.is/,Practising physicians density.
Iceland,Total number of doctors,,,1599,physicians,2024,OECD/WHO / Statistics Iceland / health statistics,https://www.statice.is/,Derived: physician density × population. Modeled derivation.
Iceland,Healthy life expectancy,At birth,Total,71.8,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Iceland,Preventable mortality rate,,,120,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Iceland,Alcohol consumption,,Total,7.7,litres pure alcohol per capita 15+,2024,WHO / Statistics Iceland / health statistics,https://www.statice.is/,Annual per-capita alcohol consumption.
