Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Iceland,Youth unemployment rate,,Ages 15–24,8.5,percent,2024,Statistics Iceland / labour statistics,https://www.statice.is/,Latest published youth unemployment rate.
Iceland,Long-term unemployment rate,,,0.4,percent of labour force,2024,Statistics Iceland / labour statistics,https://www.statice.is/,Long-term (12m+) unemployment.
Iceland,Labour force participation rate,,Total (15–64),79.5,percent,2024,Statistics Iceland / labour statistics,https://www.statice.is/,Latest published participation rate.
Iceland,Labour force participation rate,By migrant/native status,Native-born — total,81,percent,2024,Modeled estimate — labour,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Iceland,Labour force participation rate,By migrant/native status,Foreign-born — total,73.5,percent,2024,Modeled estimate — labour,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Iceland,Labour force participation rate,By migrant/native status,Native-born — men,84.5,percent,2024,Modeled estimate — labour,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Iceland,Labour force participation rate,By migrant/native status,Foreign-born — men,78.5,percent,2024,Modeled estimate — labour,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Iceland,Labour force participation rate,By migrant/native status,Native-born — women,77.5,percent,2024,Modeled estimate — labour,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Iceland,Labour force participation rate,By migrant/native status,Foreign-born — women,67.5,percent,2024,Modeled estimate — labour,https://www.statice.is/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Iceland,Minimum wage,,,none (collective agreements),statutory minimum,2024,Statistics Iceland / labour statistics,https://www.statice.is/,Statutory minimum wage (or none where wages are set by collective agreements).
Iceland,Average annual working hours per worker,,,1449,hours per year,2024,Statistics Iceland / labour statistics,https://www.statice.is/,OECD-style average annual hours actually worked.
