country,year,age_group,male_population,female_population,total_population
Iceland,2025,0-4,11556,10936,22492
Iceland,2025,5-9,12282,11685,23967
Iceland,2025,10-14,11334,10756,22090
Iceland,2025,15-19,11014,10452,21466
Iceland,2025,20-24,11379,10825,22204
Iceland,2025,25-29,13045,11470,24515
Iceland,2025,30-34,13370,12332,25702
Iceland,2025,35-39,14311,13313,27624
Iceland,2025,40-44,12771,12760,25531
Iceland,2025,45-49,11612,11602,23214
Iceland,2025,50-54,11569,11559,23128
Iceland,2025,55-59,14115,14105,28220
Iceland,2025,60-64,13493,13894,27387
Iceland,2025,65-69,10520,11290,21810
Iceland,2025,70-74,7891,9385,17276
Iceland,2025,75-79,5710,6773,12483
Iceland,2025,80-84,4502,5878,10380
Iceland,2025,85-89,2891,4579,7470
Iceland,2025,90-94,809,1632,2441
Iceland,2025,95-99,144,403,547
Iceland,2025,100+,11,43,54
