Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Micheál Martin,name,2025,CSO Ireland / government statistics,https://www.cso.ie/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Fianna Fáil,party,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Overview,head of government political ideology,,,centre,ideology,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Overview,governing coalition,,,FF–FG coalition with independents,coalition,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Overview,number of coalition parties,,,3,parties,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Parliament,total seats,,,174,seats,2025,CSO Ireland / government statistics,https://www.cso.ie/,Lower/main chamber.
Government,Parliament,seats by party,,Fianna Fáil,48,seats,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Parliament,seats by party,,Sinn Féin,39,seats,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Parliament,seats by party,,Fine Gael,38,seats,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Parliament,seats by party,,Labour,11,seats,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Parliament,seats by party,,Social Democrats,11,seats,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Parliament,seats by party,,Independents,21,seats,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Parliament,seats by party,,Others,6,seats,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Parliament,majority threshold,,,88,seats,2025,CSO Ireland / government statistics,https://www.cso.ie/,
Government,Parliament,coalition seat total,,,94,seats,2025,Modeled estimate — coalition seats,https://www.cso.ie/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,80,seats,2025,Modeled estimate — opposition seats,https://www.cso.ie/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,CSO Ireland / government statistics,https://www.cso.ie/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,https://www.cso.ie/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,53,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,51,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,39,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,67,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,77,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,60,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,23,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (77).
