country,year,age_group,male_population,female_population,total_population
Ireland,2025,0-4,148514,140536,289050
Ireland,2025,5-9,158675,150961,309636
Ireland,2025,10-14,147244,139727,286971
Ireland,2025,15-19,143920,136572,280492
Ireland,2025,20-24,149603,142330,291933
Ireland,2025,25-29,172633,151777,324410
Ireland,2025,30-34,178151,164309,342460
Ireland,2025,35-39,192063,178681,370744
Ireland,2025,40-44,172725,172587,345312
Ireland,2025,45-49,158346,158212,316558
Ireland,2025,50-54,159133,159003,318136
Ireland,2025,55-59,195967,195840,391807
Ireland,2025,60-64,189216,194825,384041
Ireland,2025,65-69,149100,160021,309121
Ireland,2025,70-74,113129,134550,247679
Ireland,2025,75-79,82883,98301,181184
Ireland,2025,80-84,66219,86470,152689
Ireland,2025,85-89,43139,68339,111478
Ireland,2025,90-94,12259,24743,37002
Ireland,2025,95-99,2227,6216,8443
Ireland,2025,100+,181,671,852
