Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Italy,Total number of abortions,National total,IVGs performed in Italy,65600,abortions,2024,National estimate,,Approximate national annual total of voluntary terminations of pregnancy.
Italy,Total number of abortions,In health establishments,,64900,abortions,2024,National estimate,,Count performed in health establishments. Italian IVG is delivered almost entirely through the public hospital system.
Italy,Total number of abortions,Outside health establishments,,700,abortions,2024,National estimate,,Small residual performed outside health establishments — about 1 percent of the national total.
Italy,Abortion ratio,IVGs per live births,National ratio,185,abortions per 1000 live births,2024,National estimate,,Approximately 18.5 IVGs per 100 live births.
Italy,Abortion ratio,Rate among reproductive-age women,Women aged 15 to 49,5.5,abortions per 1000 women,2024,National estimate,,Crude national rate among women of reproductive age.
Italy,Abortion ratio,Synthetic abortion index,Expected lifetime IVGs under 2024 age-specific rates,0.28,abortions per woman,2024,National estimate,,Period indicator rather than the observed lifetime experience of a real cohort.
Italy,Abortion ratio,Recent prior IVG,Women with an IVG in the preceding 12 months,4.8,percent,2024,National estimate,,Share of women undergoing an IVG whose care history included an IVG in the preceding twelve months.
Italy,Gestational age at abortion,National distribution,Before 10 weeks,74,percent,2024,National estimate,,Share of all IVGs performed before 10 weeks.
Italy,Gestational age at abortion,National distribution,10 to 11 weeks,14.8,percent,2024,National estimate,,Share of all IVGs performed at 10 to 11 weeks.
Italy,Gestational age at abortion,National distribution,12 to 13 weeks,7.2,percent,2024,National estimate,,Share of all IVGs performed at 12 to 13 weeks.
Italy,Gestational age at abortion,National distribution,14 to 18 weeks,4,percent,2024,National estimate,,Share of all IVGs performed at 14 to 18 weeks.
Italy,Method of abortion,National method split,Medication-based,59,percent,2024,National estimate,,National share of medication-based (medical) abortion across all settings.
Italy,Method of abortion,National method split,Instrumental or surgical,41,percent,2024,National estimate,,Complement of the medication share.
Italy,Late-term abortions,From 13 weeks,Share of all IVGs,4.4,percent,2024,National estimate,,Share of all IVGs performed at or after 13 weeks.
Italy,Late-term abortions,From 13 weeks,Approximate national count,2900,abortions,2024,National estimate,,Approximate count obtained by applying the 4.4 percent share to the national total.
Italy,Late-term abortions,From 22 weeks,National count,120,abortions,2024,National estimate,,Exceptional cases performed at or after 22 weeks.
Italy,Number of abortion-providing facilities,Health establishments,At least one IVG during the year,375,establishments,2024,National estimate,,National count of hospitals recording at least one IVG in the year.
Italy,Number of abortion-providing facilities,Regular-volume establishments,At least 12 IVGs during the year,330,establishments,2024,National estimate,,Subset of the 375 hospitals providing at least one IVG.
Italy,Number of abortion-providing facilities,Instrumental provision,At least one surgical IVG,285,establishments,2024,National estimate,,National count of hospitals offering a surgical method during the year.
Italy,Number of abortion-providing facilities,Regular instrumental provision,At least 12 surgical IVGs,215,establishments,2024,National estimate,,Subset with at least twelve surgical IVGs during the year.
