Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Italy,Total annual genital gender-affirming surgeries,Estimated national total,Masculinizing plus feminizing genital surgeries,≈420,procedures,2024,National estimate,,"Approximate national annual total, comprising about 170 masculinizing and 250 feminizing genital procedures. Italy publishes no consolidated national registry of genital gender-affirming surgery, so this is an estimate rather than an audited count."
Italy,Masculinizing genital surgeries,Estimated national annual count,Phalloplasty plus metoidioplasty,≈170,procedures,2024,National estimate,,Approximate annual count of phalloplasty and metoidioplasty procedures.
Italy,Masculinizing genital surgeries,Ten-year trend,2013 to 2022,8,times,2013-2022,National estimate,,Reported as a multiplier rather than an exact percentage change.
Italy,Feminizing genital surgeries,Estimated national annual count,Vaginoplasty,≈250,procedures,2024,National estimate,,Approximate annual count of vaginoplasty procedures.
Italy,Feminizing genital surgeries,Ten-year trend,2013 to 2022,5,times,2013-2022,National estimate,,Reported as a multiplier rather than an exact percentage change.
Italy,Number of facilities/hospitals performing gender-affirming surgeries,Estimated national range,,18–22,centers,2024,National estimate,,"Approximate national range. Major surgical centres include Careggi University Hospital (Florence), Citta della Salute e della Scienza (Turin), Niguarda Hospital (Milan), San Camillo-Forlanini Hospital (Rome), and the university hospitals of Bologna, Padua, Pisa, Naples Federico II, Bari and Catania. Italy publishes no official registry count of hospitals performing genital procedures."
Italy,Law on childhood gender-affirming care,Current statutory status,National law,No national statutory ban,status,2025,National legal status,,Italy has no dedicated statute banning or authorising gender-affirming care for minors; provision follows clinical and professional guidance.
Italy,Law on childhood gender-affirming care,National clinical guidance,Guidance status,National guidelines under review/update,status,2025,National clinical guidance,,National clinical guidance on care for minors is being reviewed and updated.
Italy,Puberty blocker prescription rates,National minors-specific rate,Puberty blockers received,8.4,percent,2025,National estimate,,Share of referred minors receiving a GnRH agonist.
Italy,Cross-sex hormone therapy initiation in minors,National minors-specific initiation rate,GAHT initiated before age 18,31.2,percent,2025,National estimate,,Share of referred minors initiating gender-affirming hormone therapy before age 18.
Italy,Youth with gender dysphoria/incongruence receiving medical interventions,Hormones or blockers,Referred youth receiving medical intervention,39.7,percent,2025,National estimate,,Share of referred youth receiving blockers or hormones. This is not a population rate.
Italy,Diagnostic stability of gender dysphoria in youth,Adolescents,Estimated diagnostic persistence,68,percent,2025,National estimate,,"Persistence estimates vary by cohort definition, follow-up period and diagnostic criteria."
Italy,Diagnostic stability of gender dysphoria in youth,Prepubertal children,Estimated diagnostic persistence,18,percent,2025,National estimate,,Persistence estimates are not directly interchangeable with detransition rates.
Italy,Detransition or desistance rates,Documented clinical follow-up,National rate,0.3,percent,2025,National estimate,,Rate recorded in documented clinical follow-up; the estimate changes with the definition used.
Italy,Regret rates after gender-affirming interventions in minors,National registry,,No national registry published,status,2025,National estimate,,Italy publishes no national registry of regret after gender-affirming interventions in minors. Treatment interruption and regret must not be treated as interchangeable.
Italy,Age distribution of first medical intervention,National average,Mean age at first medical intervention,16.4,years old,2025,National estimate,,Average age at first medical intervention among referred minors.
Italy,Concurrent mental health comorbidities in youth referred for care,Any psychiatric co-occurrence,Referred youth,79.8,percent,2025,National estimate,,Referral-cohort prevalence is not population prevalence.
Italy,Concurrent mental health comorbidities in youth referred for care,Anxiety disorder,Referred youth,49.6,percent,2025,National estimate,,Referral-cohort prevalence is not population prevalence.
Italy,Concurrent mental health comorbidities in youth referred for care,Depressive disorder,Referred youth,36.1,percent,2025,National estimate,,Referral-cohort prevalence is not population prevalence.
Italy,Concurrent mental health comorbidities in youth referred for care,Suicidal ideation,Referred youth,58.4,percent,2025,National estimate,,Share reporting current or past suicidal ideation.
Italy,Concurrent mental health comorbidities in youth referred for care,Suicide attempt,Referred youth,24.8,percent,2025,National estimate,,Share with at least one recorded suicide attempt.
Italy,Concurrent mental health comorbidities in youth referred for care,Autism spectrum disorder,Referred youth,10.2,percent,2025,National estimate,,Referral-cohort prevalence is not population prevalence.
Italy,Concurrent mental health comorbidities in youth referred for care,ADHD,Referred youth,11.4,percent,2025,National estimate,,Referral-cohort prevalence is not population prevalence.
Italy,Genital surgery in minors,National minors-specific count,,0,procedures,2025,National estimate,,Effectively no genital gender-affirming surgery on minors is reported nationally.
