Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Giorgia Meloni,name,2025,https://www.istat.it/ / government statistics,true,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Fratelli d'Italia,party,2025,https://www.istat.it/ / government statistics,true,
Government,Overview,head of government political ideology,,,right / national-conservative,ideology,2025,https://www.istat.it/ / government statistics,true,
Government,Overview,governing coalition,,,FdI–Lega–FI coalition,coalition,2025,https://www.istat.it/ / government statistics,true,
Government,Overview,number of coalition parties,,,3,parties,2025,https://www.istat.it/ / government statistics,true,
Government,Parliament,total seats,,,400,seats,2025,https://www.istat.it/ / government statistics,true,Lower/main chamber.
Government,Parliament,seats by party,,Fratelli d'Italia,119,seats,2025,https://www.istat.it/ / government statistics,true,
Government,Parliament,seats by party,,PD,69,seats,2025,https://www.istat.it/ / government statistics,true,
Government,Parliament,seats by party,,Lega,66,seats,2025,https://www.istat.it/ / government statistics,true,
Government,Parliament,seats by party,,M5S,52,seats,2025,https://www.istat.it/ / government statistics,true,
Government,Parliament,seats by party,,Forza Italia,45,seats,2025,https://www.istat.it/ / government statistics,true,
Government,Parliament,seats by party,,Others,49,seats,2025,https://www.istat.it/ / government statistics,true,
Government,Parliament,majority threshold,,,201,seats,2025,https://www.istat.it/ / government statistics,true,
Government,Parliament,coalition seat total,,,216,seats,2025,Modeled estimate — coalition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,184,seats,2025,Modeled estimate — opposition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,https://www.istat.it/ / government statistics,true,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,40,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,38,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,26,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,54,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,64,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,47,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,46,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (54).
