Topic,Published Date,Title,URL,Image
Economy,2026-07-17,"Inflation in 2026 at 3.1%, price expectations rise says BoI",https://www.ansa.it/english/news/business/2026/07/17/inflation-in-2026-at-3.1-price-expectations-rise-says-boi_0dc82f0a-d65c-4716-90e8-816519e150fd.html,
Economy,2026-07-10,Italy industrial output ends three-month positive streak with May fall,https://www.investing.com/news/economic-indicators/italy-industrial-output-ends-threemonth-positive-streak-with-may-fall-4785509,
Economy,2026-07-10,Note on Italian economy – May-June 2026,https://www.istat.it/en/comunicato-stampa/note-on-italian-economy-may-june-2026/,
Economy,2026-07-07,ECB's Panetta says economic outlook remains fragile,https://www.investing.com/news/economy-news/ecbs-panetta-says-outlook-remains-fragile-4778362,
Economy,2026-07-03,"Italy service sector returns to growth as cost pressures ease, PMI shows",https://www.investing.com/news/economic-indicators/italy-service-sector-returns-to-growth-as-cost-pressures-ease-pmi-shows-4775077,
Economy,2026-06-30,"Italy EU-harmonised CPI slows to 3.1% y/y in June, slightly below forecast",https://www.investing.com/news/economic-indicators/italy-euharmonised-cpi-slows-to-31-yy-in-june-slightly-below-forecast-4767219,
Economy,2026-06-05,Note on the performance and outlook of the Italian economy – Years 2026-2027,https://www.istat.it/en/press-release/note-on-the-performance-and-outlook-of-the-italian-economy-years-2026-2027/,
Economy,2026-04-24,"Italy set to become euro zone's most indebted country, replacing Greece",https://m.investing.com/news/economy-news/italy-set-to-become-euro-zones-most-indebted-country-replacing-greece-4637641?ampMode=1,
Economy,2026-04-22,"Italy cuts growth outlook, hikes deficit, debt as Iran war weighs",https://www.investing.com/news/economic-indicators/italy-to-cut-growth-forecasts-as-eurostat-delivers-deficit-verdict-4628079,
Economy,2026-03-04,Italy's growth is stagnant and declining – not an 'economic miracle',https://www.lemonde.fr/en/economy/article/2026/03/04/italy-is-experiencing-stagnant-and-declining-growth-not-an-economic-miracle_6751075_19.html,
Immigration,2026-07-08,Italian PM Meloni's party proposes swift deportation of foreign offenders,https://www.internazionale.it/ultime-notizie-reuters/2026/07/08/italian-pm-meloni-s-party-proposes-swift-deportation-of-foreign-offenders,
Immigration,2026-07-05,"Pope Leo XIV visits Lampedusa, delivers powerful and symbolic message to 'protect migrants'",https://www.lemonde.fr/en/international/article/2026/07/05/pope-leo-xiv-visits-lampedusa-delivers-powerful-and-symbolic-message-to-protect-migrants_6755169_4.html,
Immigration,2026-06-14,"Boat from Libya rescued, 41 migrants land on Lampedusa",https://www.ansa.it/sicilia/notizie/2026/06/14/soccorso-barcone-partito-dalla-libia-sbarcano-41-migranti-a-lampedusa_36c70fa9-b522-4834-9b21-dd8a84fdd30f.html,
Immigration,2026-06-07,"Italy recovers 10 bodies from a capsized migrant boat off Malta; fishing vessel rescues 48",https://apnews.com/article/21fab16a2b8fd83eec6fbe378da8fa95,
Immigration,2026-05-12,Albania says it will not extend Italy migration agreement beyond 2030,https://www.ansa.it/europa/en/news/2026/05/12/minister-tirana-albania-will-not-extend-the-agreement-with-italy_7e64cbed-7bff-48f2-85a3-e47ef03a68f8.html,
Immigration,2026-04-23,Italy's contested deal to send migrants to Albania gets legal lifeline,https://www.internazionale.it/ultime-notizie-reuters/2026/04/23/italy-s-contested-deal-to-send-migrants-to-albania-gets-legal-lifeline,
Immigration,2026-03-17,Authorities withhold information as hundreds of migrants vanish in the Mediterranean,https://apnews.com/article/ee527d91dc96550685c88e87c1ce4e6b,
Immigration,2026-03-05,80 migrants transferred from Italy to Albania on two charter flights,https://www.ansa.it/english/newswire/english_service/2026/03/05/80-migrants-transferred-from-italy-to-albania-on-two-charter-flights_7e331a5c-47d3-49b5-8f4d-4a539fc007c1.html,
Immigration,2026-02-24,Asylum group reports record number of migrants transferred to Albania,https://www.ansa.it/sito/notizie/cronaca/2026/02/24/tavolo-asilo-mai-cosi-tanti-migranti-trasferiti-in-albania_e1fd6e09-46e5-42c2-a92d-c633ced83162.html,
Immigration,2026-02-11,Meloni's cabinet approves new anti-immigration package,https://www.ansa.it/english/newswire/english_service/2026/02/11/ansamelonis-cabinet-approves-new-anti-immigration-package_8e85c3de-30cf-4292-9873-207577b467bf.html,
Crime,2026-07-22,Italy rocked by outcry after man dies during police arrest,https://www.lemonde.fr/en/international/article/2026/07/22/italy-rocked-by-outcry-after-man-dies-during-police-arrest_6755728_4.html,
Crime,2026-07-16,Former Italian motorway boss among 32 convicted over Genoa bridge tragedy,https://www.internazionale.it/ultime-notizie-reuters/2026/07/16/verdicts-awaited-in-trial-over-italy-s-genoa-bridge-collapse,
Crime,2026-07-16,Italy's coalition seeks pardon for jeweller who killed robbers,https://www.internazionale.it/ultime-notizie-reuters/2026/07/16/italy-s-coalition-seeks-pardon-for-jeweller-who-killed-robbers,
Crime,2026-07-14,Meloni hails 'Ndrangheta operation after 79 arrests,https://www.ansa.it/english/newswire/english_service/2026/07/14/meloni-hails-ndrangheta-op-3_e93443ad-ad91-4f6a-9f13-64a237785772.html,
Crime,2026-07-10,Italy court acquits charity migrant rescuers accused of waste trafficking,https://www.internazionale.it/ultime-notizie-reuters/2026/07/10/italy-court-acquits-charity-migrant-rescuers-accused-of-waste-trafficking,
Crime,2026-07-07,Italy arrests two over alleged spying for Russia,https://www.internazionale.it/ultime-notizie-reuters/2026/07/07/italy-arrests-two-over-alleged-spying-for-russia,
Crime,2026-06-23,Italian prosecutors demand long jail terms for Egyptians over murder of Italian student,https://www.internazionale.it/ultime-notizie-reuters/2026/06/23/italian-prosecutors-demand-long-jail-terms-for-egyptians-over-murder-of-italian-student,
Crime,2026-06-11,Police arrest eight Mafia suspects amid 'crime escalation' in Palermo,https://www.ansa.it/english/news/general_news/2026/06/11/police-arrest-eight-mafia-suspects-amid-crime-escalation-in-palermo_9a2afb53-67d9-4df4-a300-be77a591bc56.html,
Crime,2026-05-28,"Italy seizes gold, luxury villas and cash tied to Sicilian Mafia drug-trafficking gains",https://apnews.com/article/095e7b0aefd0f92ecde3ab0db5392287,
Crime,2026-04-04,Meloni hails arrest of top crime family suspect after raid at an Italian resort,https://apnews.com/article/00eb8594028eff6e255d40931186fc61,
Health,2026-07-21,Health sector waiting lists improving says AGENAS,https://www.ansa.it/english/news/2026/07/21/health-sector-waiting-lists-improving-says-agenas_19fcef1f-ce4c-4938-af52-b3254a225c0a.html,
Health,2026-07-20,"Neurological disorders affect 3.4 billion people worldwide; over one million Italians have dementia",https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2026/07/20/i-disturbi-neurologici-interessano-34-miliardi-di-persone-nel-mondo_236c89e5-a3ea-426f-95e9-e215d8399665.html,
Health,2026-07-20,Italy holds continental Europe's record for locally acquired dengue cases,https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2026/07/20/dengue-litalia-detiene-il-record-di-contagi-nelleuropa-continentale_68174592-31a2-4956-9bb8-f2ebea6fd3d6.html,
Health,2026-07-18,Italy seeks family doctors as shortage exceeds 5700,https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2026/07/18/ansamedici-di-famiglia-cercansi-il-27-scade-termine-per-corso-formazione_8650139e-48e8-4f9a-a94f-be0ef4daa0a6.html,
Health,2026-07-17,Bacterium cuts tiger mosquito reproductive capacity by 90% in Italian trial,https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2026/07/17/grazie-a-un-batterio-ridotta-del-90-la-capacita-riproduttiva-delle-zanzare-tigre_d6c5e135-7628-4c6e-94a2-3758291dae10.html,
Health,2026-07-15,Italian health agencies mobilize thousands of interventions during heatwave,https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2026/07/15/caldo-aziende-sanitarie-in-prima-linea-con-migliaia-di-interventi_e18fde0a-98d7-4df8-9f7a-896847989785.html,
Health,2026-07-09,An Italian region defies US pressure to end a Cuban doctors program,https://apnews.com/article/7e8fcedd47194236986b402c68f0e5fe,
