country,year,age_group,male_population,female_population,total_population
Italy,2025,0-4,1193418,1129306,2322724
Italy,2025,5-9,1322295,1258006,2580301
Italy,2025,10-14,1272860,1207876,2480736
Italy,2025,15-19,1290999,1225090,2516089
Italy,2025,20-24,1393034,1325319,2718353
Italy,2025,25-29,1669286,1467626,3136912
Italy,2025,30-34,1789638,1650578,3440216
Italy,2025,35-39,2005318,1865600,3870918
Italy,2025,40-44,1875304,1873814,3749118
Italy,2025,45-49,1788679,1787171,3575850
Italy,2025,50-54,1871303,1869774,3741077
Italy,2025,55-59,2400449,2398902,4799351
Italy,2025,60-64,2415938,2487557,4903495
Italy,2025,65-69,1985806,2131258,4117064
Italy,2025,70-74,1572900,1870742,3443642
Italy,2025,75-79,1204014,1427989,2632003
Italy,2025,80-84,1005962,1313593,2319555
Italy,2025,85-89,686004,1086743,1772747
Italy,2025,90-94,204281,412321,616602
Italy,2025,95-99,38943,108664,147607
Italy,2025,100+,3330,12311,15641
