country,year,age_group,male_population,female_population,total_population
Italy,2025,0-4,1019619,963282,1982901
Italy,2025,5-9,1204664,1138653,2343317
Italy,2025,10-14,1387124,1306707,2693831
Italy,2025,15-19,1521297,1406381,2927678
Italy,2025,20-24,1567443,1416587,2984030
Italy,2025,25-29,1598593,1437673,3036266
Italy,2025,30-34,1643541,1553228,3196769
Italy,2025,35-39,1692081,1650823,3342904
Italy,2025,40-44,1814513,1801999,3616512
Italy,2025,45-49,2094596,2116264,4210860
Italy,2025,50-54,2346422,2399714,4746136
Italy,2025,55-59,2372870,2460537,4833407
Italy,2025,60-64,2157752,2291234,4448986
Italy,2025,65-69,1790530,1957812,3748342
Italy,2025,70-74,1527147,1732121,3259268
Italy,2025,75-79,1358243,1631466,2989709
Italy,2025,80-84,922458,1249885,2172343
Italy,2025,85-89,594542,948390,1542932
Italy,2025,90-94,214551,460667,675218
Italy,2025,95-99,39755,129648,169403
Italy,2025,100+,3976,18676,22652
