Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Latvia,Healthcare expenditure,Share of GDP,Total,7.8,percent of GDP,2024,https://www.csp.gov.lv/ / health statistics,true,Latest published health expenditure share of GDP.
Latvia,Healthcare expenditure,Per capita,Total,1700,EUR per person,2024,https://www.csp.gov.lv/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
Latvia,Healthcare expenditure,Public/private split,Public financing share,64,percent of current health expenditure,2024,https://www.csp.gov.lv/ / health statistics,true,Public share of current health expenditure.
Latvia,Healthcare expenditure,Public/private split,Private financing share,36,percent of current health expenditure,2024,https://www.csp.gov.lv/ / health statistics,true,Residual private share.
Latvia,Obesity rate,Adult,Total,24.6,percent of adults,2024,WHO / https://www.csp.gov.lv/ / health statistics,true,Adult obesity prevalence (BMI 30+).
Latvia,Smoking prevalence,Adult,Total,28.5,percent of adults,2024,WHO / https://www.csp.gov.lv/ / health statistics,true,Adult smoking prevalence.
Latvia,Suicide Rate,,Total,15.7,"per 100,000 population",2024,WHO / https://www.csp.gov.lv/ / health statistics,true,Age-standardised suicide rate.
Latvia,"Physicians per 1,000 people",,,3.4,"physicians per 1,000",2024,OECD/WHO / https://www.csp.gov.lv/ / health statistics,true,Practising physicians density.
Latvia,Total number of doctors,,,6358,physicians,2024,OECD/WHO / https://www.csp.gov.lv/ / health statistics,true,Derived: physician density × population. Modeled derivation.
Latvia,Healthy life expectancy,At birth,Total,66.2,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Latvia,Preventable mortality rate,,,290,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Latvia,Alcohol consumption,,Total,12.2,litres pure alcohol per capita 15+,2024,WHO / https://www.csp.gov.lv/ / health statistics,true,Annual per-capita alcohol consumption.
