Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Latvia,Youth unemployment rate,,Ages 15–24,13.5,percent,2024,https://www.csp.gov.lv/ / labour statistics,true,Latest published youth unemployment rate.
Latvia,Long-term unemployment rate,,,1.8,percent of labour force,2024,https://www.csp.gov.lv/ / labour statistics,true,Long-term (12m+) unemployment.
Latvia,Labour force participation rate,,Total (15–64),64.5,percent,2024,https://www.csp.gov.lv/ / labour statistics,true,Latest published participation rate.
Latvia,Labour force participation rate,By migrant/native status,Native-born — total,66,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Latvia,Labour force participation rate,By migrant/native status,Foreign-born — total,58.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Latvia,Labour force participation rate,By migrant/native status,Native-born — men,69.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Latvia,Labour force participation rate,By migrant/native status,Foreign-born — men,63.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Latvia,Labour force participation rate,By migrant/native status,Native-born — women,62.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Latvia,Labour force participation rate,By migrant/native status,Foreign-born — women,52.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Latvia,Minimum wage,,,€740/month,statutory minimum,2024,https://www.csp.gov.lv/ / labour statistics,true,Statutory minimum wage (or none where wages are set by collective agreements).
Latvia,Average annual working hours per worker,,,1734,hours per year,2024,https://www.csp.gov.lv/ / labour statistics,true,OECD-style average annual hours actually worked.
