country,year,age_group,male_population,female_population,total_population
Latvia,2025,0-4,44542,42149,86691
Latvia,2025,5-9,48401,46048,94449
Latvia,2025,10-14,45702,43369,89071
Latvia,2025,15-19,45476,43155,88631
Latvia,2025,20-24,48150,45809,93959
Latvia,2025,25-29,56625,49784,106409
Latvia,2025,30-34,59587,54957,114544
Latvia,2025,35-39,65545,60979,126524
Latvia,2025,40-44,60182,60135,120317
Latvia,2025,45-49,56367,56319,112686
Latvia,2025,50-54,57915,57868,115783
Latvia,2025,55-59,72971,72924,145895
Latvia,2025,60-64,72145,74284,146429
Latvia,2025,65-69,58261,62528,120789
Latvia,2025,70-74,45343,53929,99272
Latvia,2025,75-79,34108,40453,74561
Latvia,2025,80-84,28008,36572,64580
Latvia,2025,85-89,18773,29739,48512
Latvia,2025,90-94,5495,11092,16587
Latvia,2025,95-99,1030,2874,3904
Latvia,2025,100+,87,320,407
