Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Brigitte Haas,name,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,FBP,party,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,
Government,Overview,governing coalition,,,FBP–VU coalition,coalition,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,
Government,Overview,number of coalition parties,,,2,parties,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,
Government,Parliament,total seats,,,25,seats,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,Lower/main chamber.
Government,Parliament,seats by party,,FBP,10,seats,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,
Government,Parliament,seats by party,,VU,8,seats,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,
Government,Parliament,seats by party,,DpL,4,seats,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,
Government,Parliament,seats by party,,Freie Liste,3,seats,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,
Government,Parliament,majority threshold,,,13,seats,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,
Government,Parliament,coalition seat total,,,14,seats,2025,Modeled estimate — coalition seats,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,11,seats,2025,Modeled estimate — opposition seats,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,4,parties,2025,Amt für Statistik Liechtenstein / government statistics,https://www.statistikportal.li/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,3.8,effective number of parties,2025,Modeled estimate — fragmentation,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,56,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,54,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,42,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,70,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,80,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,63,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,17,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (83).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
