Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Liechtenstein,Youth unemployment rate,,Ages 15–24,3.5,percent,2024,Amt für Statistik Liechtenstein / labour statistics,https://www.statistikportal.li/,Latest published youth unemployment rate.
Liechtenstein,Long-term unemployment rate,,,0.3,percent of labour force,2024,Amt für Statistik Liechtenstein / labour statistics,https://www.statistikportal.li/,Long-term (12m+) unemployment.
Liechtenstein,Labour force participation rate,,Total (15–64),72,percent,2024,Amt für Statistik Liechtenstein / labour statistics,https://www.statistikportal.li/,Latest published participation rate.
Liechtenstein,Labour force participation rate,By migrant/native status,Native-born — total,73.5,percent,2024,Modeled estimate — labour,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Liechtenstein,Labour force participation rate,By migrant/native status,Foreign-born — total,66,percent,2024,Modeled estimate — labour,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Liechtenstein,Labour force participation rate,By migrant/native status,Native-born — men,77,percent,2024,Modeled estimate — labour,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Liechtenstein,Labour force participation rate,By migrant/native status,Foreign-born — men,71,percent,2024,Modeled estimate — labour,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Liechtenstein,Labour force participation rate,By migrant/native status,Native-born — women,70,percent,2024,Modeled estimate — labour,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Liechtenstein,Labour force participation rate,By migrant/native status,Foreign-born — women,60,percent,2024,Modeled estimate — labour,https://www.statistikportal.li/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Liechtenstein,Minimum wage,,,none (no statutory minimum),statutory minimum,2024,Amt für Statistik Liechtenstein / labour statistics,https://www.statistikportal.li/,Statutory minimum wage (or none where wages are set by collective agreements).
Liechtenstein,Average annual working hours per worker,,,1600,hours per year,2024,Amt für Statistik Liechtenstein / labour statistics,https://www.statistikportal.li/,OECD-style average annual hours actually worked.
