country,year,age_group,male_population,female_population,total_population
Liechtenstein,2025,0-4,953,901,1854
Liechtenstein,2025,5-9,1035,985,2020
Liechtenstein,2025,10-14,977,928,1905
Liechtenstein,2025,15-19,973,923,1896
Liechtenstein,2025,20-24,1030,980,2010
Liechtenstein,2025,25-29,1211,1065,2276
Liechtenstein,2025,30-34,1275,1175,2450
Liechtenstein,2025,35-39,1402,1304,2706
Liechtenstein,2025,40-44,1288,1286,2574
Liechtenstein,2025,45-49,1206,1204,2410
Liechtenstein,2025,50-54,1239,1238,2477
Liechtenstein,2025,55-59,1561,1560,3121
Liechtenstein,2025,60-64,1543,1589,3132
Liechtenstein,2025,65-69,1246,1338,2584
Liechtenstein,2025,70-74,970,1153,2123
Liechtenstein,2025,75-79,730,865,1595
Liechtenstein,2025,80-84,599,782,1381
Liechtenstein,2025,85-89,402,636,1038
Liechtenstein,2025,90-94,118,237,355
Liechtenstein,2025,95-99,22,61,83
Liechtenstein,2025,100+,2,7,9
