Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Lithuania,Healthcare expenditure,Share of GDP,Total,7.5,percent of GDP,2024,https://osp.stat.gov.lt/ / health statistics,true,Latest published health expenditure share of GDP.
Lithuania,Healthcare expenditure,Per capita,Total,2000,EUR per person,2024,https://osp.stat.gov.lt/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
Lithuania,Healthcare expenditure,Public/private split,Public financing share,66,percent of current health expenditure,2024,https://osp.stat.gov.lt/ / health statistics,true,Public share of current health expenditure.
Lithuania,Healthcare expenditure,Public/private split,Private financing share,34,percent of current health expenditure,2024,https://osp.stat.gov.lt/ / health statistics,true,Residual private share.
Lithuania,Obesity rate,Adult,Total,26.5,percent of adults,2024,WHO / https://osp.stat.gov.lt/ / health statistics,true,Adult obesity prevalence (BMI 30+).
Lithuania,Smoking prevalence,Adult,Total,27.1,percent of adults,2024,WHO / https://osp.stat.gov.lt/ / health statistics,true,Adult smoking prevalence.
Lithuania,Suicide Rate,,Total,18.5,"per 100,000 population",2024,WHO / https://osp.stat.gov.lt/ / health statistics,true,Age-standardised suicide rate.
Lithuania,"Physicians per 1,000 people",,,4.6,"physicians per 1,000",2024,OECD/WHO / https://osp.stat.gov.lt/ / health statistics,true,Practising physicians density.
Lithuania,Total number of doctors,,,13202,physicians,2024,OECD/WHO / https://osp.stat.gov.lt/ / health statistics,true,Derived: physician density × population. Modeled derivation.
Lithuania,Healthy life expectancy,At birth,Total,66.6,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Lithuania,Preventable mortality rate,,,280,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Lithuania,Alcohol consumption,,Total,11.1,litres pure alcohol per capita 15+,2024,WHO / https://osp.stat.gov.lt/ / health statistics,true,Annual per-capita alcohol consumption.
