Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Lithuania,Youth unemployment rate,,Ages 15–24,15,percent,2024,https://osp.stat.gov.lt/ / labour statistics,true,Latest published youth unemployment rate.
Lithuania,Long-term unemployment rate,,,1.9,percent of labour force,2024,https://osp.stat.gov.lt/ / labour statistics,true,Long-term (12m+) unemployment.
Lithuania,Labour force participation rate,,Total (15–64),68,percent,2024,https://osp.stat.gov.lt/ / labour statistics,true,Latest published participation rate.
Lithuania,Labour force participation rate,By migrant/native status,Native-born — total,69.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Lithuania,Labour force participation rate,By migrant/native status,Foreign-born — total,62,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Lithuania,Labour force participation rate,By migrant/native status,Native-born — men,73,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Lithuania,Labour force participation rate,By migrant/native status,Foreign-born — men,67,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Lithuania,Labour force participation rate,By migrant/native status,Native-born — women,66,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Lithuania,Labour force participation rate,By migrant/native status,Foreign-born — women,56,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Lithuania,Minimum wage,,,"€1,038/month",statutory minimum,2024,https://osp.stat.gov.lt/ / labour statistics,true,Statutory minimum wage (or none where wages are set by collective agreements).
Lithuania,Average annual working hours per worker,,,1690,hours per year,2024,https://osp.stat.gov.lt/ / labour statistics,true,OECD-style average annual hours actually worked.
