country,year,age_group,male_population,female_population,total_population
Lithuania,2025,0-4,68361,64689,133050
Lithuania,2025,5-9,74284,70673,144957
Lithuania,2025,10-14,70142,66561,136703
Lithuania,2025,15-19,69796,66232,136028
Lithuania,2025,20-24,73899,70306,144205
Lithuania,2025,25-29,86906,76407,163313
Lithuania,2025,30-34,91452,84345,175797
Lithuania,2025,35-39,100596,93588,194184
Lithuania,2025,40-44,92365,92292,184657
Lithuania,2025,45-49,86509,86437,172946
Lithuania,2025,50-54,88885,88813,177698
Lithuania,2025,55-59,111993,111920,223913
Lithuania,2025,60-64,110726,114008,224734
Lithuania,2025,65-69,89416,95966,185382
Lithuania,2025,70-74,69590,82768,152358
Lithuania,2025,75-79,52348,62085,114433
Lithuania,2025,80-84,42985,56129,99114
Lithuania,2025,85-89,28812,45642,74454
Lithuania,2025,90-94,8434,17023,25457
Lithuania,2025,95-99,1581,4410,5991
Lithuania,2025,100+,133,491,624
