Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Luc Frieden,name,2025,STATEC / government statistics,https://statistiques.public.lu/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,CSV,party,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Overview,governing coalition,,,CSV–DP coalition,coalition,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Overview,number of coalition parties,,,2,parties,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Parliament,total seats,,,60,seats,2025,STATEC / government statistics,https://statistiques.public.lu/,Lower/main chamber.
Government,Parliament,seats by party,,CSV,21,seats,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Parliament,seats by party,,DP,14,seats,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Parliament,seats by party,,LSAP,11,seats,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Parliament,seats by party,,ADR,5,seats,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Parliament,seats by party,,Déi Gréng,4,seats,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Parliament,seats by party,,Others,5,seats,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Parliament,majority threshold,,,31,seats,2025,STATEC / government statistics,https://statistiques.public.lu/,
Government,Parliament,coalition seat total,,,32,seats,2025,Modeled estimate — coalition seats,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,28,seats,2025,Modeled estimate — opposition seats,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,STATEC / government statistics,https://statistiques.public.lu/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,55,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,53,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,41,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,69,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,79,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,62,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,19,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (81).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,6,percent of vote (latest national election),2025,STATEC / government statistics,https://statistiques.public.lu/,Approximate national-election share.
Government,Polarization,far-left vote share,,,4,percent of vote (latest national election),2025,STATEC / government statistics,https://statistiques.public.lu/,Approximate national-election share.
Government,Polarization,center-right vote share,,,52,percent of vote (latest national election),2025,STATEC / government statistics,https://statistiques.public.lu/,Approximate national-election share.
Government,Polarization,center-left vote share,,,30,percent of vote (latest national election),2025,STATEC / government statistics,https://statistiques.public.lu/,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,8.4,percent,2025,Modeled estimate — anti-establishment share,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,5,effective parties,2025,Modeled estimate — ENP,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,low,qualitative,2025,Modeled estimate — stability,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,5.2,percentage points (net),2025,Modeled estimate — swing,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,naturalizations per year,,,5500,people,2025,STATEC / government statistics,https://statistiques.public.lu/,Latest published/estimated annual naturalizations.
